============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space( 150. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 .4355880E+08   1506000E+03  .1017E+06  .4508E+06   .9999997  .0001972  .0007034
T    2  6 .4351386E+08   1506000E+03 -.1849E+07 -.4333E+06   .9999867 -.0050314  .0011417
T    3  6 .4354586E+08   1506000E+03  .2007E+06  .2259E+06   .9999999 -.0000616 -.0004530
T    4  6 .4355418E+08   1506000E+03  .2921E+07  .3450E+07   .9999799  .0037504  .0051101
T    5  6 .4355009E+08   1506000E+03  .1017E+07 -.5663E+05   .9999970  .0022063 -.0010500
T    6  6 .4353945E+08   1506000E+03  .1427E+07 -.5429E+06   .9999982  .0018824 -.0000869
T    7  6 .4349502E+08   1506000E+03 -.4495E+06 -.1180E+06   .9999993 -.0008450  .0008296
T    8  6 .4360840E+08   1506000E+03  .1039E+06 -.4295E+06   .9999999 -.0001333  .0004113
T    9  6 .4354009E+08   1506000E+03  .1259E+07 -.6385E+06   .9999977  .0020443 -.0006999
T   10  6 .4354623E+08   1506000E+03  .6759E+05  .9897E+06   .9999995 -.0001429  .0009775
T   11  6 .4355449E+08   1506000E+03 -.4929E+06 -.2479E+06   .9999995 -.0009953  .0000193
T   12  6 .4355854E+08   1506000E+03 -.1867E+06 -.5038E+06   .9999997 -.0001403 -.0007130
T   13  6 .4355848E+08   1506000E+03 -.2518E+06 -.9031E+06   .9999985  .0000151 -.0017134
T   14  6 .4357384E+08   1506000E+03  .1790E+07  .2847E+06   .9999966  .0025886  .0004257
T   15  6 .4357350E+08   1506000E+03  .1899E+06 -.8772E+06   .9999991  .0003523 -.0013144
T   16  6 .4351195E+08   1506000E+03 -.8059E+06 -.8848E+06   .9999980 -.0003797 -.0019755
T   17  6 .4353588E+08   1506000E+03  .2087E+06  .2736E+06   .9999999  .0001339 -.0004788
T   18  6 .4351773E+08   1506000E+03  .7755E+06 -.8352E+06   .9999996 -.0003745 -.0007700
T   19  6 .4355800E+08   1506000E+03 -.6180E+05  .4289E+06   .9999993 -.0006398  .0010306
T   20  6 .4355201E+08   1506000E+03 -.2606E+07  .4740E+07   .9999591 -.0026976  .0086294
T   21  6 .4350045E+08   1506000E+03 -.1376E+05  .2621E+06   .9999999 -.0000836  .0000022
T   22  6 .4356396E+08   1506000E+03 -.4126E+06  .9077E+05   .9999997 -.0007037 -.0000978
T   23  6 .4351924E+08   1506000E+03  .1986E+06 -.1700E+07   .9999981 -.0004047 -.0018965
T   24  6 .4348862E+08   1506000E+03 -.9128E+06 -.9751E+06   .9999989 -.0010659 -.0010513
T   25  6 .4359376E+08   1506000E+03 -.5967E+05 -.2928E+06   .9999995 -.0008951  .0004513
T   26  6 .4353184E+08   1506000E+03 -.3107E+06 -.8970E+06   .9999994 -.0001914 -.0010953
T   27  6 .4349926E+08   1506000E+03  .1867E+06 -.1723E+06   .9999997 -.0000347  .0008353
T   28  6 .4358704E+08   1506000E+03 -.1878E+07 -.1732E+07   .9999977 -.0012594 -.0017122
T   29  6 .4355623E+08   1506000E+03  .1151E+06  .3812E+06   .9999997 -.0003573  .0007489
T   30  6 .4349301E+08   1506000E+03  .5308E+06 -.1305E+04   .9999980  .0013062 -.0015267
T   31  6 .4351232E+08   1506000E+03 -.1912E+06 -.5260E+06   .9999999 -.0002467 -.0001633
T   32  6 .4351202E+08   1506000E+03 -.1196E+07 -.9899E+06   .9999977 -.0017602 -.0012454
T   33  6 .4354748E+08   1506000E+03  .1584E+06  .8946E+06   .9999984  .0011091  .0014088
T   34  6 .4351752E+08   1506000E+03 -.1071E+07 -.5502E+06   .9999990 -.0014112 -.0002013
T   35  6 .4353725E+08   1506000E+03 -.2850E+06 -.1977E+07   .9999971  .0001842 -.0024201
T   36  6 .4354064E+08   1506000E+03 -.1132E+07  .1412E+07   .9999906 -.0036610  .0023128
T   37  6 .4357806E+08   1506000E+03 -.1366E+07  .5057E+06   .9999998 -.0005899 -.0000840
T   38  6 .4350399E+08   1506000E+03  .4208E+06  .1391E+07   .9999990  .0003038  .0013561
T   39  6 .4359557E+08   1506000E+03  .3312E+05  .7958E+06   .9999992 -.0004642  .0011914
T   40  6 .4351087E+08   1506000E+03  .1001E+07 -.6269E+05   .9999985  .0017028 -.0002953
T   41  6 .4350114E+08   1506000E+03 -.1276E+07 -.7895E+05   .9999995 -.0008868  .0003774
T   42  6 .4352663E+08   1506000E+03  .2932E+06  .2833E+05   .9999999  .0003671 -.0001232
T   43  6 .4358700E+08   1506000E+03  .2761E+06  .1079E+06   .9999995  .0010267  .0000557
T   44  6 .4353923E+08   1506000E+03 -.1541E+06  .1353E+06   .9999999 -.0004110  .0001967
T   45  6 .4347248E+08   1506000E+03  .1124E+06 -.9234E+06   .9999992  .0004765 -.0012055
T   46  6 .4353369E+08   1506000E+03 -.1019E+07 -.1839E+06   .9999997 -.0007651  .0000323
T   47  6 .4350184E+08   1506000E+03  .1454E+06 -.7933E+06   .9999988  .0002220 -.0015603
T   48  6 .4353142E+08   1506000E+03  .3878E+06  .1546E+07   .9999979  .0000173  .0020395
T   49  6 .4349352E+08   1506000E+03 -.1347E+07 -.2839E+06   .9999936 -.0033476 -.0012491
