============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space( 230. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 ,4274114E+08   2306000E+03  ,3183E+06  ,1841E+07   ,9999962  ,0001599  ,0027587
T    2  6 ,4281521E+08   2306000E+03  ,5363E+07  ,6190E+07   ,9999869  ,0011834  ,0049882
T    3  6 ,4277105E+08   2306000E+03 -,2303E+07 -,1219E+07   ,9999967 -,0003239 -,0025667
T    4  6 ,4277361E+08   2306000E+03 -,3749E+07 -,3771E+07   ,9999922 -,0036197 -,0015642
T    5  6 ,4282972E+08   2306000E+03 -,2051E+07  ,9273E+06   ,9999987 -,0014543  ,0006347
T    6  6 ,4278958E+08   2306000E+03  ,1833E+07 -,1925E+07   ,9999972  ,0014791 -,0018309
T    7  6 ,4281820E+08   2306000E+03 -,1203E+07  ,6686E+06   ,9999978 -,0020820 -,0002101
T    8  6 ,4279509E+08   2306000E+03 -,1506E+06 -,6633E+06   ,9999995  ,0008166 -,0005409
T    9  6 ,4273206E+08   2306000E+03  ,7680E+06  ,1688E+07   ,9999994  ,0001970  ,0010998
T   10  6 ,4270050E+08   2306000E+03  ,1409E+07 -,1151E+07   ,9999978  ,0019643 -,0007144
T   11  6 ,4269096E+08   2306000E+03 -,2149E+07  ,3325E+06   ,9999992 -,0005556 -,0011600
T   12  6 ,4275053E+08   2306000E+03  ,1056E+07  ,3241E+07   ,9999978  ,0010985  ,0017715
T   13  6 ,4277149E+08   2306000E+03  ,4392E+07  ,2550E+06   ,9999948  ,0032265 -,0002082
T   14  6 ,4280314E+08   2306000E+03  ,1616E+07  ,2662E+07   ,9999984  ,0011449  ,0013748
T   15  6 ,4267226E+08   2306000E+03  ,3523E+07  ,1345E+06   ,9999957  ,0029210 -,0000948
T   16  6 ,4282122E+08   2306000E+03 -,9226E+06  ,2694E+07   ,9999965 -,0016357  ,0020976
T   17  6 ,4282360E+08   2306000E+03 -,1611E+07  ,1464E+06   ,9999988 -,0014851  ,0004639
T   18  6 ,4272466E+08   2306000E+03 -,2807E+06 -,1669E+07   ,9999745 -,0005128 -,0071202
T   19  6 ,4274275E+08   2306000E+03  ,4647E+06  ,4086E+07   ,9999955  ,0001016  ,0029889
T   20  6 ,4278442E+08   2306000E+03  ,7873E+06  ,3776E+06   ,9999982  ,0018637  ,0002763
T   21  6 ,4273086E+08   2306000E+03  ,3267E+07  ,1053E+06   ,9999936  ,0033623 -,0011923
T   22  6 ,4264011E+08   2306000E+03 -,2624E+07  ,4098E+05   ,9999967 -,0025170  ,0005990
T   23  6 ,4274085E+08   2306000E+03 -,6175E+07  ,4161E+07   ,9999848 -,0043182  ,0034240
T   24  6 ,4274079E+08   2306000E+03  ,9898E+06  ,2005E+07   ,9999973  ,0018751  ,0013453
T   25  6 ,4274187E+08   2306000E+03  ,9431E+06  ,6278E+06   ,9999970  ,0009929  ,0022467
T   26  6 ,4276273E+08   2306000E+03 -,4714E+06 -,2984E+07   ,9999988  ,0008180 -,0013276
T   27  6 ,4279875E+08   2306000E+03 -,3091E+07 -,2760E+07   ,9999932 -,0024759 -,0027150
T   28  6 ,4278426E+08   2306000E+03  ,1988E+07  ,2585E+07   ,9999998 -,0004863  ,0002884
T   29  6 ,4270356E+08   2306000E+03  ,5284E+07 -,6089E+07   ,9999831  ,0046456 -,0034988
T   30  6 ,4269140E+08   2306000E+03 -,1839E+07 -,8073E+06   ,9999999 -,0004171 -,0002757
T   31  6 ,4276098E+08   2306000E+03  ,7554E+06 -,4715E+07   ,9999963  ,0007891 -,0026051
T   32  6 ,4270296E+08   2306000E+03 -,1098E+06  ,1455E+07   ,9999947  ,0002219  ,0032634
T   33  6 ,4270689E+08   2306000E+03 -,6640E+06 -,9390E+07   ,9999664 -,0002075 -,0081954
T   34  6 ,4270664E+08   2306000E+03 -,1077E+07  ,9346E+06   ,9999992 -,0009976 -,0007608
T   35  6 ,4274249E+08   2306000E+03  ,8916E+07  ,7023E+07   ,9999483  ,0081129  ,0061249
T   36  6 ,4272108E+08   2306000E+03 -,3406E+06  ,1345E+06   ,9999981 -,0017681 -,0008178
T   37  6 ,4275970E+08   2306000E+03 -,1861E+07  ,1627E+07   ,9999943 -,0022385  ,0025315
T   38  6 ,4269773E+08   2306000E+03 -,1012E+07 -,3281E+07   ,9999943 -,0013658 -,0030905
T   39  6 ,4267166E+08   2306000E+03 -,7117E+07 -,3291E+07   ,9999819 -,0052139 -,0029885
T   40  6 ,4271029E+08   2306000E+03 -,3582E+06  ,6393E+07   ,9999696  ,0002777  ,0077928
T   41  6 ,4274132E+08   2306000E+03  ,3550E+06  ,2987E+06   ,9999995  ,0001107  ,0009834
T   42  6 ,4278358E+08   2306000E+03 -,1486E+07 -,5585E+06   ,9999985 -,0012028 -,0012628
T   43  6 ,4274743E+08   2306000E+03  ,3841E+07  ,3810E+07   ,9999843  ,0043971  ,0034698
T   44  6 ,4275191E+08   2306000E+03  ,1190E+06  ,1857E+07   ,9999988 -,0002970  ,0015265
T   45  6 ,4282431E+08   2306000E+03 -,5293E+05  ,1591E+06   ,9999990  ,0005825  ,0012860
T   46  6 ,4273814E+08   2306000E+03  ,1186E+07 -,3958E+06   ,9999995  ,0010235  ,0000344
T   47  6 ,4269860E+08   2306000E+03  ,1217E+07  ,2070E+07   ,9999975  ,0002346  ,0022120
T   48  6 ,4269225E+08   2306000E+03  ,4153E+07 -,7060E+07   ,9999800  ,0001810 -,0063190
T   49  6 ,4274994E+08   2306000E+03  ,1821E+07  ,3036E+06   ,9999986  ,0015430 -,0006715
T   50  6 ,4286056E+08   2306000E+03 -,2187E+07  ,1340E+07   ,9999974 -,0016163  ,0015855
T   51  6 ,4276802E+08   2306000E+03  ,5092E+06 -,2314E+06   ,9999989  ,0013999  ,0004562
T   52  6 ,4269967E+08   2306000E+03 -,5256E+06 -,1306E+07   ,9999972 -,0004913 -,0023040
T   53  6 ,4265214E+08   2306000E+03  ,1401E+07  ,1531E+07   ,9999930  ,0027034  ,0025956
T   54  6 ,4278049E+08   2306000E+03  ,1554E+07  ,2224E+07   ,9999994  ,0007302  ,0008377
T   55  6 ,4286705E+08   2306000E+03 -,4630E+06  ,8570E+06   ,9999990  ,0008882 -,0010689
T   56  6 ,4273709E+08   2306000E+03 -,1986E+07  ,1623E+07   ,9999502  ,0029370  ,0095391
T   57  6 ,4273058E+08   2306000E+03  ,9365E+06 -,1259E+07   ,9999998  ,0002073 -,0006073
T   58  6 ,4269662E+08   2306000E+03  ,1384E+07 -,2362E+07   ,9999969  ,0016346 -,0018987
T   59  6 ,4276361E+08   2306000E+03 -,2754E+07  ,1359E+07   ,9999893 -,0043174  ,0016335
T   60  6 ,4277028E+08   2306000E+03  ,3966E+06 -,3911E+07   ,9999927 -,0001273 -,0038223
T   61  6 ,4275349E+08   2306000E+03  ,1674E+07  ,1164E+06   ,9999994  ,0009549 -,0006215
T   62  6 ,4280819E+08   2306000E+03  ,4982E+07 -,1100E+08   ,9999755  ,0018754 -,0067415
T   63  6 ,4282028E+08   2306000E+03  ,1087E+07  ,1476E+07   ,9999999 -,0005307  ,0000845
T   64  6 ,4285461E+08   2306000E+03  ,1484E+07 -,4397E+06   ,9999984  ,0015574  ,0008324
T   65  6 ,4275122E+08   2306000E+03  ,2336E+07  ,3310E+06   ,9999985  ,0014092  ,0009738
T   66  6 ,4267613E+08   2306000E+03 -,2809E+07 -,1081E+07   ,9999982 -,0016702  ,0009421
T   67  6 ,4272478E+08   2306000E+03  ,1159E+07 -,2109E+07   ,9999989  ,0006423 -,0012995
T   68  6 ,4269804E+08   2306000E+03  ,2125E+07  ,5408E+06   ,9999985  ,0000665  ,0017539
T   69  6 ,4271011E+08   2306000E+03  ,3742E+06  ,2022E+07   ,9999996 -,0000324  ,0008654
T   70  6 ,4285655E+08   2306000E+03  ,1329E+07 -,2365E+07   ,9999965  ,0010804 -,0024193
T   71  6 ,4266147E+08   2306000E+03  ,1152E+07 -,6843E+07   ,9992425  ,0139052 -,0363467
T   72  6 ,4264953E+08   2306000E+03 -,5113E+07  ,1196E+07   ,9999948 -,0027381  ,0016819
T   73  6 ,4277059E+08   2306000E+03 -,1092E+04 -,5793E+06   ,9999989 -,0009974 -,0010599
T   74  6 ,4289220E+08   2306000E+03  ,1953E+07 -,9855E+06   ,9999975  ,0005439 -,0021854
T   75  6 ,4283347E+08   2306000E+03  ,3443E+07 -,4193E+07   ,9999927  ,0027423 -,0026709
T   76  6 ,4268476E+08   2306000E+03 -,1411E+07 -,1446E+07   ,9999993  ,0010233 -,0006222
T   77  6 ,4267781E+08   2306000E+03 -,1729E+07  ,1252E+07   ,9999993 -,0009174  ,0007335
T   78  6 ,4273985E+08   2306000E+03  ,2784E+07 -,7663E+06   ,9999985  ,0016545 -,0005029
T   79  6 ,4273235E+08   2306000E+03 -,1046E+07 -,1359E+06   ,9999998 -,0000087  ,0006527
T   80  6 ,4275391E+08   2306000E+03 -,1514E+07 -,4265E+06   ,9999978 -,0020973 -,0001458
T   81  6 ,4274722E+08   2306000E+03  ,2353E+07 -,3028E+07   ,9999965  ,0022936 -,0013075
T   82  6 ,4274337E+08   2306000E+03 -,5914E+06  ,7604E+06   ,9999997  ,0006316  ,0003204
T   83  6 ,4271360E+08   2306000E+03  ,6425E+06 -,4949E+05   ,9999995  ,0008574 -,0004184
T   84  6 ,4270720E+08   2306000E+03 -,1343E+07 -,1045E+07   ,9999985 -,0013540 -,0010827
T   85  6 ,4274549E+08   2306000E+03  ,1569E+07  ,2190E+07   ,9999997  ,0002926  ,0007452
T   86  6 ,4279713E+08   2306000E+03 -,6616E+06  ,1615E+07   ,9999988 -,0002871  ,0015045
T   87  6 ,4267078E+08   2306000E+03  ,6175E+06 -,1224E+07   ,9999994  ,0009696 -,0005024
T   88  6 ,4266456E+08   2306000E+03  ,5534E+06  ,2646E+06   ,9999998 -,0004731  ,0005116
T   89  6 ,4272786E+08   2306000E+03  ,3583E+07  ,1661E+07   ,9999963  ,0020772  ,0017385
T   90  6 ,4273806E+08   2306000E+03 -,1423E+07 -,7938E+06   ,9999989 -,0013615 -,0005111
T   91  6 ,4271940E+08   2306000E+03  ,3743E+07  ,3757E+07   ,9999987  ,0005218  ,0014973
T   92  6 ,4290369E+08   2306000E+03  ,8201E+06 -,8863E+06   ,9999994 -,0006466 -,0008712
T   93  6 ,4280428E+08   2306000E+03 -,1855E+07  ,8144E+06   ,9999993  ,0003471  ,0010998
T   94  6 ,4280067E+08   2306000E+03 -,1785E+07  ,4842E+06   ,9999989 -,0013729  ,0004663
T   95  6 ,4280094E+08   2306000E+03 -,1220E+07 -,2814E+07   ,9999985 -,0012334 -,0012056
T   96  6 ,4278685E+08   2306000E+03 -,3994E+07 -,2252E+05   ,9999962 -,0027224 -,0003364
T   97  6 ,4275825E+08   2306000E+03 -,3873E+07  ,1953E+07   ,9999667 -,0081567 -,0002758
T   98  6 ,4273475E+08   2306000E+03 -,4110E+06  ,3598E+07   ,9999766  ,0015257  ,0066732
T   99  6 ,4270995E+08   2306000E+03  ,5916E+06 -,6723E+06   ,9999997  ,0003741 -,0006324
T  100  6 ,4277682E+08   2306000E+03  ,7718E+06 -,1409E+07   ,9999972  ,0004027 -,0023157
T  101  6 ,4267087E+08   2306000E+03  ,5466E+07  ,1284E+08   ,9999726  ,0041938  ,0060959
T  102  6 ,4278718E+08   2306000E+03 -,1125E+07 -,3930E+06   ,9999991 -,0013346 -,0003115
T  103  6 ,4282714E+08   2306000E+03  ,2906E+07 -,1560E+07   ,9999980  ,0008150 -,0018026
T  104  6 ,4278574E+08   2306000E+03 -,3819E+06  ,3923E+06   ,9999992 -,0010929  ,0006497
T  105  6 ,4270757E+08   2306000E+03 -,2841E+07 -,7166E+06   ,9999974 -,0018573 -,0013259
T  106  6 ,4270470E+08   2306000E+03  ,1850E+07 -,6129E+06   ,9999981  ,0019311  ,0003425
T  107  6 ,4281290E+08   2306000E+03 -,3502E+07 -,1258E+07   ,9999888 -,0044907 -,0015235
T  108  6 ,4278779E+08   2306000E+03 -,1114E+07 -,1640E+07   ,9999981 -,0019053 -,0004675
T  109  6 ,4269101E+08   2306000E+03 -,1579E+07 -,8697E+06   ,9999989 -,0014793 -,0001528
T  110  6 ,4274889E+08   2306000E+03  ,1414E+07  ,2057E+07   ,9999978  ,0001689  ,0021138
T  111  6 ,4276609E+08   2306000E+03 -,3123E+06  ,1473E+07   ,9999995 -,0002831  ,0009898
T  112  6 ,4276667E+08   2306000E+03 -,7234E+06 -,1830E+06   ,9999995  ,0003273 -,0009184
T  113  6 ,4284843E+08   2306000E+03 -,9196E+06 -,3660E+06   ,9999996  ,0004992  ,0007235
T  114  6 ,4268756E+08   2306000E+03  ,5605E+06  ,6443E+06   ,9999996 -,0007168  ,0005742
T  115  6 ,4256672E+08   2306000E+03  ,6802E+06 -,1381E+07   ,9999999 -,0004666 -,0001926
T  116  6 ,4272751E+08   2306000E+03 -,2641E+07  ,1575E+07   ,9999087 -,0129090  ,0039962
T  117  6 ,4280617E+08   2306000E+03 -,1541E+07  ,2401E+07   ,9999950 -,0017856  ,0025981
T  118  6 ,4272594E+08   2306000E+03 -,2164E+07  ,5334E+06   ,9999973 -,0019630 -,0012794
T  119  6 ,4272213E+08   2306000E+03  ,1306E+07  ,2341E+07   ,9999957  ,0023256  ,0017888
T  120  6 ,4267449E+08   2306000E+03  ,3762E+06 -,3970E+07   ,9999991 -,0000065 -,0013405
T  121  6 ,4275092E+08   2306000E+03  ,6598E+06  ,1321E+07   ,9999999  ,0001437 -,0002614
T  122  6 ,4276798E+08   2306000E+03 -,1009E+07  ,1926E+07   ,9999980 -,0010678  ,0017024
T  123  6 ,4270872E+08   2306000E+03  ,4282E+06  ,5786E+06   ,9999996 -,0006081 -,0005810
T  124  6 ,4274082E+08   2306000E+03 -,1417E+07  ,2609E+07   ,9999900 -,0024240  ,0037481
T  125  6 ,4276225E+08   2306000E+03  ,6860E+06  ,1546E+08   ,9999484  ,0008999  ,0101214
T  126  6 ,4276885E+08   2306000E+03  ,3240E+07  ,9688E+07   ,9999715  ,0021144  ,0072409
T  127  6 ,4276226E+08   2306000E+03 -,2124E+07 -,7572E+06   ,9999945 -,0031328 -,0011074
T  128  6 ,4266736E+08   2306000E+03  ,1377E+07 -,1379E+07   ,9999992  ,0011307 -,0005602
T  129  6 ,4266768E+08   2306000E+03 -,6021E+07 -,1264E+07   ,9999811 -,0061525  ,0000766
T  130  6 ,4283512E+08   2306000E+03 -,4204E+06 -,1022E+07   ,9999999 -,0003657  ,0000533
T  131  6 ,4272921E+08   2306000E+03  ,2207E+06  ,1300E+07   ,9999986 -,0012252 -,0011153
T  132  6 ,4274655E+08   2306000E+03 -,8183E+05  ,1133E+07   ,9999999 -,0002014  ,0002860
T  133  6 ,4271394E+08   2306000E+03 -,1425E+07 -,3233E+07   ,9999909 -,0022321 -,0036375
T  134  6 ,4278580E+08   2306000E+03 -,2824E+07  ,1724E+06   ,9999990 -,0012925  ,0005051
T  135  6 ,4275323E+08   2306000E+03 -,1239E+07 -,7682E+06   ,9999992 -,0011773 -,0003832
T  136  6 ,4283619E+08   2306000E+03  ,1481E+07 -,2753E+07   ,9999993  ,0008880 -,0008428
T  137  6 ,4274239E+08   2306000E+03  ,8736E+06 -,5818E+06   ,9999994  ,0009844 -,0004313
T  138  6 ,4276790E+08   2306000E+03  ,9518E+05 -,1244E+07   ,9999995  ,0003428 -,0009345
T  139  6 ,4271273E+08   2306000E+03 -,8036E+06 -,1959E+07   ,9999974 -,0009145 -,0020786
T  140  6 ,4272364E+08   2306000E+03  ,1330E+07 -,5578E+06   ,9999999  ,0000054 -,0002785
T  141  6 ,4275493E+08   2306000E+03  ,3538E+07  ,6757E+06   ,9999979  ,0011641 -,0016742
T  142  6 ,4273899E+08   2306000E+03  ,2120E+07 -,1564E+07   ,9999998  ,0000068 -,0007030
T  143  6 ,4266323E+08   2306000E+03  ,3179E+06 -,4516E+06   ,9999999  ,0002277 -,0004841
T  144  6 ,4273758E+08   2306000E+03 -,1416E+07 -,1233E+07   ,9999980 -,0016053 -,0011706
T  145  6 ,4273113E+08   2306000E+03 -,2752E+07  ,2100E+07   ,9999965 -,0017036  ,0020007
T  146  6 ,4284115E+08   2306000E+03 -,1387E+07 -,1779E+07   ,9999992 -,0010166 -,0007297
T  147  6 ,4271367E+08   2306000E+03  ,7027E+06  ,2806E+07   ,9999996 -,0000202  ,0009343
T  148  6 ,4278987E+08   2306000E+03  ,2857E+07 -,6484E+07   ,9999889  ,0016523 -,0044085
T  149  6 ,4283784E+08   2306000E+03 -,3076E+07  ,1246E+08   ,9999782 -,0010939  ,0065076
T  150  6 ,4288550E+08   2306000E+03  ,2716E+07  ,4442E+05   ,9999985  ,0017072 -,0002204
T  151  6 ,4273159E+08   2306000E+03 -,1309E+07 -,2990E+07   ,9999985 -,0001058 -,0017480
T  152  6 ,4274568E+08   2306000E+03 -,5219E+06 -,8398E+05   ,9999998 -,0005906  ,0000167
T  153  6 ,4263303E+08   2306000E+03  ,1119E+07 -,1208E+07   ,9999966 -,0010498 -,0024044
T  154  6 ,4278932E+08   2306000E+03 -,2086E+07  ,1458E+07   ,9999998 -,0004768  ,0003166
T  155  6 ,4283774E+08   2306000E+03 -,6717E+06  ,2000E+07   ,9999998  ,0005299  ,0004187
T  156  6 ,4276458E+08   2306000E+03  ,1517E+07  ,2433E+07   ,9999977  ,0010114  ,0018760
T  157  6 ,4276888E+08   2306000E+03 -,2045E+06  ,8104E+06   ,9999995  ,0001482  ,0010358
T  158  6 ,4274940E+08   2306000E+03  ,1485E+07 -,7997E+06   ,9999992  ,0012435  ,0003251
T  159  6 ,4273999E+08   2306000E+03 -,2894E+07 -,7150E+07   ,9999810 -,0014976 -,0059742
T  160  6 ,4273483E+08   2306000E+03  ,1209E+07 -,1050E+07   ,9999989  ,0014704 -,0001842
T  161  6 ,4270214E+08   2306000E+03  ,2894E+06 -,5275E+04   ,9999998  ,0006205  ,0002937
T  162  6 ,4270541E+08   2306000E+03 -,2903E+07 -,2104E+07   ,9999981 -,0016992  ,0009713
