============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Dead space( 150. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 .6168727E+08   1506000E+03  .1419E+06  .8225E+06   .9999984  .0002314  .0017509
T    2  8 .6177181E+08   1506000E+03  .2749E+07  .2995E+07   .9999908  .0022789  .0036299
T    3  8 .6168653E+08   1506000E+03 -.1757E+06  .1538E+04   .9999999  .0000824  .0003068
T    4  8 .6169038E+08   1506000E+03  .1635E+07 -.3853E+05   .9999982  .0017727 -.0006010
T    5  8 .6170698E+08   1506000E+03 -.1299E+07  .4594E+06   .9999979 -.0020472 -.0000128
T    6  8 .6172638E+08   1506000E+03  .8564E+06 -.8876E+06   .9999980  .0012132 -.0015602
T    7  8 .6170944E+08   1506000E+03  .6501E+06 -.4293E+06   .9999994  .0010075 -.0005039
T    8  8 .6172666E+08   1506000E+03 -.9272E+06  .1873E+06   .9999996 -.0009094 -.0001568
T    9  8 .6166601E+08   1506000E+03 -.9921E+06 -.2809E+07   .9999985 -.0002521 -.0017123
T   10  8 .6167382E+08   1506000E+03  .5973E+06 -.5724E+06   .9999987  .0013765 -.0008071
T   11  8 .6163165E+08   1506000E+03 -.1080E+07  .1980E+06   .9999998 -.0006448 -.0001464
T   12  8 .6169438E+08   1506000E+03  .5531E+06  .1590E+07   .9999992  .0003166  .0012554
T   13  8 .6171386E+08   1506000E+03 -.1561E+07 -.2136E+07   .9999972 -.0013862 -.0019177
T   14  8 .6171543E+08   1506000E+03  .2300E+06 -.6543E+06   .9999996 -.0009164 -.0000175
T   15  8 .6172026E+08   1506000E+03 -.5238E+06 -.8659E+06   .9999988 -.0006484 -.0013794
T   16  8 .6164607E+08   1506000E+03  .1838E+07 -.4242E+07   .9999945  .0005951 -.0032500
T   17  8 .6166034E+08   1506000E+03 -.4996E+06  .8953E+06   .9999983 -.0015441  .0010165
T   18  8 .6166520E+08   1506000E+03  .1948E+06  .1952E+05   .9999973 -.0008421 -.0021804
T   19  8 .6163825E+08   1506000E+03 -.2729E+04  .4730E+05   .9999998  .0000031 -.0006067
T   20  8 .6172944E+08   1506000E+03  .5543E+06  .1046E+07   .9999992  .0006539  .0011155
T   21  8 .6172941E+08   1506000E+03 -.7363E+06 -.3085E+06   .9999992 -.0009504  .0008588
T   22  8 .6173244E+08   1506000E+03  .1971E+06  .1818E+06   .9999998  .0005970 -.0001644
T   23  8 .6167552E+08   1506000E+03 -.3004E+07  .1987E+07   .9999902 -.0035036  .0027199
T   24  8 .6170129E+08   1506000E+03 -.2850E+06  .1162E+07   .9999990  .0006256  .0013013
T   25  8 .6165677E+08   1506000E+03 -.5585E+06  .1088E+07   .9999980 -.0007664  .0018454
T   26  8 .6167595E+08   1506000E+03  .7723E+06 -.4526E+06   .9999994  .0010768  .0002757
T   27  8 .6169559E+08   1506000E+03  .1640E+07 -.6064E+06   .9999985  .0017157 -.0000643
T   28  8 .6171642E+08   1506000E+03  .9739E+06  .1292E+07   .9999985  .0008717  .0015170
T   29  8 .6174429E+08   1506000E+03  .6127E+06  .2830E+06   .9999997  .0007256 -.0001206
T   30  8 .6165535E+08   1506000E+03  .4266E+06 -.1785E+05   .9999948  .0021593  .0023960
T   31  8 .6172450E+08   1506000E+03  .8662E+06 -.3979E+06   .9999992  .0012971  .0000236
T   32  8 .6171990E+08   1506000E+03 -.2522E+05  .6058E+06   .9999996 -.0000519  .0009467
T   33  8 .6170965E+08   1506000E+03 -.1352E+07  .5813E+06   .9999946 -.0032243 -.0007020
T   34  8 .6178154E+08   1506000E+03  .6208E+06 -.1089E+07   .9999978 -.0002522 -.0020995
T   35  8 .6170105E+08   1506000E+03  .1030E+07  .7892E+06   .9999994  .0002709  .0010640
T   36  8 .6173169E+08   1506000E+03  .3638E+06 -.1445E+07   .9999991  .0010753 -.0007985
T   37  8 .6162338E+08   1506000E+03  .4631E+06  .1153E+06   .9999993  .0012102  .0001088
T   38  8 .6179140E+08   1506000E+03 -.6031E+06  .1964E+07   .9999995  .0000800  .0009967
T   39  8 .6164227E+08   1506000E+03 -.9436E+06 -.1001E+07   .9999988 -.0012899 -.0008882
T   40  8 .6167330E+08   1506000E+03  .6921E+06 -.1420E+06   .9999986  .0014594 -.0008251
T   41  8 .6163939E+08   1506000E+03  .3782E+06  .8810E+06   .9999987  .0004820  .0015155
T   42  8 .6165426E+08   1506000E+03  .7431E+06 -.2955E+06   .9999982 -.0002561 -.0018874
T   43  8 .6168938E+08   1506000E+03  .2358E+05 -.1055E+07   .9999988  .0015632  .0001222
T   44  8 .6172879E+08   1506000E+03 -.1854E+06 -.1648E+07   .9999977  .0005946 -.0020374
T   45  8 .6169454E+08   1506000E+03  .1958E+07  .7397E+06   .9999974  .0019827  .0011663
T   46  8 .6171209E+08   1506000E+03 -.4809E+06 -.4871E+06   .9999989 -.0003511 -.0014082
T   47  8 .6180871E+08   1506000E+03 -.1725E+07  .8031E+06   .9999981 -.0016602  .0010127
T   48  8 .6178058E+08   1506000E+03  .2233E+07 -.1832E+07   .9999943  .0027435 -.0019557
T   49  8 .6173541E+08   1506000E+03 -.1651E+06 -.5647E+06   .9999980 -.0008170 -.0018090
T   50  8 .6175432E+08   1506000E+03  .9514E+06 -.5897E+06   .9999990  .0010670 -.0008783
T   51  8 .6176310E+08   1506000E+03 -.1063E+07  .7924E+06   .9999963 -.0024794  .0011264
T   52  8 .6180097E+08   1506000E+03  .5628E+06  .9340E+06   .9999998  .0001632  .0005843
T   53  8 .6160663E+08   1506000E+03 -.5145E+06 -.7831E+06   .9999997 -.0007694 -.0001132
T   54  8 .6167409E+08   1506000E+03  .1214E+05 -.1339E+07   .9999999  .0003065 -.0003166
T   55  8 .6171539E+08   1506000E+03 -.3783E+06 -.1547E+06   .9999999 -.0002009 -.0001890
T   56  8 .6167935E+08   1506000E+03  .4939E+07  .5506E+07   .9999909  .0023583  .0035631
T   57  8 .6171270E+08   1506000E+03  .3020E+06  .1863E+06   .9999990  .0007356  .0012086
T   58  8 .6169526E+08   1506000E+03  .7760E+05  .6535E+06   .9999997 -.0006771  .0004835
T   59  8 .6164635E+08   1506000E+03 -.1323E+07 -.7276E+06   .9999979 -.0011756 -.0016568
T   60  8 .6168806E+08   1506000E+03  .9345E+06 -.1852E+07   .9999987  .0008369 -.0013951
T   61  8 .6162403E+08   1506000E+03  .2121E+06 -.1751E+07   .9999970 -.0001077 -.0024382
T   62  8 .6173444E+08   1506000E+03 -.5425E+06  .6406E+06   .9999999 -.0000982  .0000702
