============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Dead space( 230. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 ,6036441E+08   2306000E+03  ,2451E+06  ,1874E+07   ,9999980 -,0007605  ,0018354
T    2  8 ,6033246E+08   2306000E+03 -,5931E+06 -,2521E+06   ,9999996 -,0002645  ,0008790
T    3  8 ,6054234E+08   2306000E+03 -,1807E+07  ,2609E+07   ,9999988 -,0014356  ,0006527
T    4  8 ,6037284E+08   2306000E+03  ,3718E+06  ,3293E+07   ,9999892 -,0043213  ,0016853
T    5  8 ,6043674E+08   2306000E+03  ,2192E+06  ,1820E+07   ,9999990 -,0005528  ,0012893
T    6  8 ,6045534E+08   2306000E+03  ,6287E+06 -,1568E+07   ,9999997 -,0003797 -,0007347
T    7  8 ,6047180E+08   2306000E+03 -,1869E+07 -,1665E+07   ,9999996 -,0007548 -,0004680
T    8  8 ,6052199E+08   2306000E+03 -,8150E+06  ,3866E+06   ,9999999 -,0002957 -,0001991
T    9  8 ,6052360E+08   2306000E+03  ,1152E+07 -,1235E+07   ,9999994 -,0011084 -,0001392
T   10  8 ,6051005E+08   2306000E+03 -,2365E+07  ,2849E+07   ,9999926 -,0022346  ,0031230
T   11  8 ,6052118E+08   2306000E+03 -,3750E+06 -,1987E+06   ,9999995 -,0007515  ,0006372
T   12  8 ,6043656E+08   2306000E+03 -,2354E+07 -,8749E+06   ,9999972 -,0022546 -,0006732
T   13  8 ,6056527E+08   2306000E+03 -,6408E+06  ,2453E+07   ,9999986  ,0003319  ,0016562
T   14  8 ,6055726E+08   2306000E+03 -,1665E+06 -,1580E+07   ,9999980  ,0008820 -,0017725
T   15  8 ,6050970E+08   2306000E+03  ,7270E+06  ,3017E+07   ,9999926 -,0004498  ,0038275
T   16  8 ,6040486E+08   2306000E+03 -,1919E+08 -,1433E+06   ,9999362 -,0112604  ,0008820
T   17  8 ,6040016E+08   2306000E+03 -,9593E+04 -,1212E+07   ,9999987 -,0012586 -,0009782
T   18  8 ,6044598E+08   2306000E+03 -,3328E+07 -,1009E+08   ,9999628 -,0016618 -,0084685
T   19  8 ,6039411E+08   2306000E+03 -,1083E+07  ,3681E+06   ,9999998 -,0006325 -,0000325
T   20  8 ,6042409E+08   2306000E+03  ,2534E+07 -,3750E+06   ,9999981  ,0019363 -,0000960
T   21  8 ,6047859E+08   2306000E+03 -,1577E+07 -,9281E+06   ,9999996 -,0008694 -,0003468
T   22  8 ,6043783E+08   2306000E+03 -,2135E+07 -,4988E+06   ,9999981 -,0019366 -,0002262
T   23  8 ,6048065E+08   2306000E+03  ,1784E+07  ,2275E+07   ,9999975  ,0017919  ,0013587
T   24  8 ,6047071E+08   2306000E+03 -,2014E+07 -,5087E+06   ,9999987 -,0011685 -,0010947
T   25  8 ,6039854E+08   2306000E+03 -,7815E+06  ,5133E+07   ,9999751 -,0003834  ,0070441
T   26  8 ,6039701E+08   2306000E+03  ,6726E+06 -,1321E+07   ,9999986  ,0004575 -,0016235
T   27  8 ,6038314E+08   2306000E+03 -,4357E+05 -,3037E+07   ,9999964 -,0002311 -,0026549
T   28  8 ,6046815E+08   2306000E+03 -,7063E+06 -,6335E+06   ,9999996  ,0009057  ,0002601
T   29  8 ,6044099E+08   2306000E+03  ,1693E+07  ,2311E+07   ,9999987 -,0003853  ,0015788
T   30  8 ,6041999E+08   2306000E+03  ,3537E+07 -,7049E+07   ,9999839  ,0031558 -,0047256
T   31  8 ,6051654E+08   2306000E+03 -,2587E+07  ,5476E+06   ,9999986 -,0015814  ,0004819
T   32  8 ,6040572E+08   2306000E+03 -,1488E+07  ,2203E+07   ,9999973 -,0006014  ,0022486
T   33  8 ,6048478E+08   2306000E+03 -,1841E+07 -,1801E+06   ,9999994 -,0010736  ,0001526
T   34  8 ,6047603E+08   2306000E+03  ,2717E+07 -,5106E+06   ,9999991  ,0011520  ,0006610
T   35  8 ,6045319E+08   2306000E+03  ,8105E+06 -,1203E+07   ,9999993 -,0010730 -,0005359
T   36  8 ,6039565E+08   2306000E+03  ,1311E+07 -,3264E+06   ,9999999  ,0000992  ,0000037
T   37  8 ,6047280E+08   2306000E+03 -,8781E+06 -,2810E+06   ,9999996  ,0001751 -,0008872
T   38  8 ,6047641E+08   2306000E+03 -,2081E+07  ,2706E+07   ,9999963 -,0018902  ,0019377
T   39  8 ,6044306E+08   2306000E+03  ,7908E+06 -,1419E+07   ,9999993  ,0005258 -,0010332
T   40  8 ,6047627E+08   2306000E+03 -,4438E+06 -,2164E+06   ,9999999 -,0003272 -,0001952
T   41  8 ,6058640E+08   2306000E+03  ,5957E+07  ,3168E+07   ,9999900  ,0040230  ,0019328
T   42  8 ,6046481E+08   2306000E+03  ,6551E+06  ,4992E+07   ,9999960 -,0001731  ,0028365
T   43  8 ,6050533E+08   2306000E+03  ,2755E+06  ,9188E+06   ,9999989 -,0002532  ,0014343
T   44  8 ,6047862E+08   2306000E+03  ,1699E+07 -,9398E+06   ,9999987  ,0014654 -,0006117
