============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Dead space( 150. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  3 .2359247E+08   1506000E+03  .2732E+06  .1764E+06   .9999999  .0000702  .0002045
T    2  3 .2357203E+08   1506000E+03 -.2202E+07  .2768E+06   .9999957 -.0029465  .0000286
T    3  3 .2357221E+08   1506000E+03  .3854E+07  .7719E+04   .9999910  .0042385  .0003610
T    4  3 .2361398E+08   1506000E+03  .3489E+06 -.7497E+06   .9999996 -.0001207 -.0009334
T    5  3 .2359430E+08   1506000E+03 -.6211E+06 -.9484E+06   .9999986 -.0005291 -.0015773
T    6  3 .2362992E+08   1506000E+03  .6192E+06 -.6456E+06   .9999997  .0000420  .0007244
T    7  3 .2362716E+08   1506000E+03  .2006E+06  .5641E+06   .9999997 -.0001815  .0007063
T    8  3 .2362230E+08   1506000E+03  .3398E+06  .3922E+06   .9999580 -.0085387 -.0033360
T    9  3 .2359140E+08   1506000E+03 -.2101E+07 -.1154E+07   .9999982 -.0013590 -.0013342
T   10  3 .2359801E+08   1506000E+03  .6384E+05 -.8978E+05   .9999987 -.0012268 -.0010809
T   11  3 .2359195E+08   1506000E+03 -.3722E+06 -.2674E+06   .9999999  .0001050 -.0005024
T   12  3 .2362374E+08   1506000E+03  .6337E+06 -.1372E+05   .9999998  .0001033 -.0006856
T   13  3 .2360706E+08   1506000E+03 -.1311E+07 -.1261E+05   .9999981 -.0019556  .0000493
T   14  3 .2357241E+08   1506000E+03 -.1063E+07  .8055E+06   .9999955 -.0017800  .0024114
T   15  3 .2360295E+08   1506000E+03  .1476E+07 -.1662E+05   .9999987  .0009490 -.0012842
T   16  3 .2359882E+08   1506000E+03  .1554E+06  .8603E+06   .9999992 -.0004920  .0011261
T   17  3 .2362081E+08   1506000E+03 -.2227E+07  .5448E+06   .9999344 -.0114180  .0009587
T   18  3 .2359259E+08   1506000E+03  .1268E+07  .4840E+06   .9999988  .0015244 -.0003561
T   19  3 .2360975E+08   1506000E+03 -.1134E+06 -.5742E+06   .9999986  .0000421 -.0016586
T   20  3 .2361097E+08   1506000E+03 -.2157E+06  .7636E+05   .9999999 -.0002128  .0000525
T   21  3 .2360178E+08   1506000E+03 -.9294E+06 -.2366E+06   .9999988 -.0015404  .0002788
