============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Dead space( 230. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  3 ,2339176E+08   2306000E+03  ,3734E+06  ,4270E+06   ,9999996 -,0005948  ,0006344
T    2  3 ,2342114E+08   2306000E+03 -,2224E+07  ,1037E+07   ,9999991 -,0007584  ,0011376
T    3  3 ,2336208E+08   2306000E+03  ,2032E+07  ,1009E+06   ,9999992  ,0009478  ,0008912
T    4  3 ,2339569E+08   2306000E+03  ,1002E+07 -,2555E+06   ,9999980 -,0000131 -,0020003
T    5  3 ,2342886E+08   2306000E+03  ,4165E+07 -,1081E+07   ,9999969  ,0023382 -,0008660
T    6  3 ,2341718E+08   2306000E+03  ,3132E+06  ,1646E+07   ,9999997  ,0006132  ,0003898
T    7  3 ,2337274E+08   2306000E+03 -,2402E+06 -,5311E+07   ,9999930  ,0011321 -,0035576
T    8  3 ,2341656E+08   2306000E+03  ,1316E+07  ,6996E+06   ,9999989  ,0014045  ,0004980
T    9  3 ,2339914E+08   2306000E+03 -,1504E+07  ,2880E+07   ,9999968 -,0013284  ,0021355
T   10  3 ,2334767E+08   2306000E+03 -,1411E+07 -,5992E+06   ,9999902 -,0043805 -,0006312
T   11  3 ,2341250E+08   2306000E+03 -,1639E+05 -,3553E+06   ,9999995  ,0010191 -,0001959
T   12  3 ,2338282E+08   2306000E+03  ,7653E+06  ,1728E+07   ,9999986  ,0002728  ,0016309
T   13  3 ,2340539E+08   2306000E+03 -,1086E+07 -,2917E+07   ,9999979 -,0008902 -,0018495
T   14  3 ,2342111E+08   2306000E+03 -,1578E+07  ,3651E+06   ,9999995 -,0010165  ,0001927
T   15  3 ,2339539E+08   2306000E+03  ,5020E+06 -,7336E+06   ,9999992  ,0005081 -,0011726
T   16  3 ,2336998E+08   2306000E+03 -,4771E+07  ,3781E+07   ,9999889 -,0037625  ,0028403
T   17  3 ,2339398E+08   2306000E+03 -,5668E+06  ,3030E+07   ,9999969 -,0011344  ,0022011
T   18  3 ,2339962E+08   2306000E+03 -,1817E+07  ,7880E+06   ,9999988 -,0012787  ,0008828
T   19  3 ,2338086E+08   2306000E+03 -,9794E+06  ,1774E+07   ,9999988 -,0012033  ,0009373
T   20  3 ,2339985E+08   2306000E+03 -,1686E+07  ,1210E+07   ,9999969 -,0018768  ,0016633
T   21  3 ,2337529E+08   2306000E+03  ,1773E+07 -,2041E+07   ,9999965  ,0017784 -,0019643
T   22  3 ,2338130E+08   2306000E+03  ,1810E+06 -,6446E+06   ,9999988  ,0009061 -,0012539
T   23  3 ,2339669E+08   2306000E+03 -,1346E+07 -,2153E+07   ,9999978 -,0009870 -,0018556
T   24  3 ,2343017E+08   2306000E+03 -,6870E+06 -,7466E+05   ,9999976 -,0019426  ,0009852
T   25  3 ,2339578E+08   2306000E+03  ,4021E+05  ,3555E+06   ,9999995  ,0002613  ,0010071
T   26  3 ,2341188E+08   2306000E+03 -,5273E+06  ,4476E+07   ,9999954  ,0004498  ,0030056
T   27  3 ,2337346E+08   2306000E+03 -,1665E+06 -,7231E+06   ,9999992 -,0011766  ,0005106
T   28  3 ,2338958E+08   2306000E+03 -,3919E+06 -,1786E+07   ,9999978 -,0014238 -,0015101
T   29  3 ,2340422E+08   2306000E+03  ,1749E+07  ,9956E+06   ,9999984  ,0013983  ,0011531
T   30  3 ,2337964E+08   2306000E+03  ,6315E+06  ,7215E+06   ,9999997  ,0004990  ,0006518
T   31  3 ,2340031E+08   2306000E+03 -,9864E+05 -,1218E+06   ,9999999 -,0000671 -,0003290
T   32  3 ,2338815E+08   2306000E+03 -,1238E+06 -,2360E+07   ,9999957 -,0003661 -,0028992
T   33  3 ,2337937E+08   2306000E+03  ,1464E+06  ,8805E+05   ,9999992 -,0004818 -,0011555
T   34  3 ,2338154E+08   2306000E+03 -,1156E+06 -,2419E+06   ,9999979  ,0018049 -,0009343
T   35  3 ,2340190E+08   2306000E+03  ,1014E+07 -,1323E+07   ,9999999  ,0004630 -,0002499
T   36  3 ,2340730E+08   2306000E+03  ,5140E+06 -,1142E+07   ,9999978  ,0019609 -,0007067
T   37  3 ,2338730E+08   2306000E+03 -,2256E+06 -,1671E+07   ,9999990 -,0008824 -,0011139
T   38  3 ,2339104E+08   2306000E+03  ,2482E+07 -,6685E+06   ,9999984  ,0017577  ,0003102
T   39  3 ,2340438E+08   2306000E+03 -,9969E+06  ,2039E+07   ,9999922 -,0019997  ,0033979
T   40  3 ,2342905E+08   2306000E+03  ,1339E+06 -,5324E+06   ,9999995  ,0003936 -,0009272
T   41  3 ,2333391E+08   2306000E+03 -,2299E+06  ,2789E+06   ,9999999 -,0002742  ,0004287
T   42  3 ,2340876E+08   2306000E+03  ,8677E+06 -,1280E+07   ,9999989  ,0006162 -,0013158
T   43  3 ,2336360E+08   2306000E+03  ,6140E+06  ,1773E+07   ,9999999  ,0004093  ,0003163
T   44  3 ,2337794E+08   2306000E+03 -,3232E+05  ,2068E+06   ,9999999  ,0002902  ,0000801
T   45  3 ,2337455E+08   2306000E+03 -,3507E+06  ,1063E+06   ,9999997 -,0005277  ,0006204
T   46  3 ,2341971E+08   2306000E+03 -,1119E+07 -,1197E+07   ,9999985 -,0013294 -,0011037
T   47  3 ,2340159E+08   2306000E+03  ,1158E+07 -,6786E+06   ,9999991  ,0012901 -,0004118
T   48  3 ,2339438E+08   2306000E+03  ,4171E+06  ,3750E+07   ,9999927  ,0002995  ,0038180
T   49  3 ,2342941E+08   2306000E+03 -,1104E+07 -,4258E+06   ,9999998 -,0004146 -,0004547
T   50  3 ,2341126E+08   2306000E+03 -,4654E+06  ,2157E+06   ,9999983  ,0004323  ,0017668
T   51  3 ,2338073E+08   2306000E+03  ,6411E+07 -,1076E+07   ,9999964  ,0025610 -,0008112
T   52  3 ,2337898E+08   2306000E+03  ,1420E+08  ,1429E+08   ,9999527  ,0072802  ,0064558
T   53  3 ,2342959E+08   2306000E+03  ,1286E+07 -,2858E+07   ,9999981  ,0005688 -,0018655
T   54  3 ,2340842E+08   2306000E+03  ,1494E+07 -,1337E+07   ,9999992  ,0010675 -,0006816
T   55  3 ,2338700E+08   2306000E+03  ,7316E+06  ,1573E+07   ,9999975  ,0013219  ,0018163
T   56  3 ,2336603E+08   2306000E+03  ,8261E+06 -,3550E+06   ,9999998  ,0003994 -,0004112
T   57  3 ,2339318E+08   2306000E+03 -,1234E+07  ,1242E+07   ,9999985 -,0004672  ,0016520
T   58  3 ,2342915E+08   2306000E+03 -,4475E+07 -,4163E+06   ,9999966 -,0025513  ,0004549
T   59  3 ,2336668E+08   2306000E+03 -,3421E+06 -,7216E+06   ,9999999  ,0001400 -,0002135
T   60  3 ,2340966E+08   2306000E+03  ,5158E+06 -,9270E+06   ,9999999  ,0000003 -,0001072
