============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space+Tr. ROW 0( 150. mm) =============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 .4356298E+08   1506000E+03  .1027E+06  .5079E+06   .9999992  .0002675  .0012366
T    2  6 .4355583E+08   1506000E+03 -.5634E+03  .2619E+06   .9999998 -.0000957  .0006390
T    3  6 .4361118E+08   1506000E+03 -.1289E+07  .2009E+07   .9999872 -.0042992  .0026530
T    4  6 .4352664E+08   1506000E+03  .4053E+06  .2645E+05   .9999999  .0002923 -.0002226
T    5  6 .4350772E+08   1506000E+03 -.1640E+06  .4046E+06   .9999998 -.0005550 -.0003260
T    6  6 .4358795E+08   1506000E+03  .7615E+05  .2050E+07   .9999988 -.0004954  .0014877
T    7  6 .4349122E+08   1506000E+03 -.8606E+06  .1116E+07   .9999985 -.0013140  .0011670
T    8  6 .4350197E+08   1506000E+03 -.5550E+06  .4105E+06   .9999993 -.0010690  .0005496
T    9  6 .4358342E+08   1506000E+03  .9676E+05  .5426E+06   .9999998 -.0004074  .0005523
T   10  6 .4358597E+08   1506000E+03  .1645E+07  .1668E+06   .9999983  .0017852 -.0003537
T   11  6 .4348735E+08   1506000E+03 -.4691E+06  .6631E+06   .9999990  .0002150  .0014068
T   12  6 .4349203E+08   1506000E+03 -.7581E+06  .9343E+06   .9999995 -.0010037  .0000112
T   13  6 .4350872E+08   1506000E+03  .8082E+06 -.8899E+06   .9999993  .0001090 -.0012034
T   14  6 .4348505E+08   1506000E+03  .5930E+06 -.8303E+06   .9999999 -.0002620 -.0004606
T   15  6 .4353975E+08   1506000E+03  .8211E+06 -.4309E+07   .9999938  .0012915 -.0032784
T   16  6 .4354863E+08   1506000E+03 -.9371E+05  .3912E+06   .9999980  .0001357  .0019844
T   17  6 .4356434E+08   1506000E+03  .5968E+06 -.6768E+06   .9999968  .0013415 -.0021601
T   18  6 .4357780E+08   1506000E+03 -.9801E+06  .2498E+06   .9999984 -.0017710  .0002163
T   19  6 .4357584E+08   1506000E+03  .2962E+06 -.1371E+07   .9999986  .0005452 -.0015946
T   20  6 .4356511E+08   1506000E+03 -.4761E+06  .8154E+06   .9999992 -.0008731  .0008689
T   21  6 .4355980E+08   1506000E+03  .5292E+06 -.1708E+05   .9999999  .0003361  .0000127
T   22  6 .4349327E+08   1506000E+03  .2023E+07  .4666E+06   .9999976  .0021486  .0003694
T   23  6 .4356527E+08   1506000E+03 -.1483E+07 -.1113E+06   .9999986 -.0015195 -.0007625
T   24  6 .4349926E+08   1506000E+03  .2205E+07  .1151E+07   .9999966  .0021399  .0015222
T   25  6 .4355726E+08   1506000E+03  .1631E+07 -.1421E+07   .9999963  .0018062 -.0020335
T   26  6 .4354567E+08   1506000E+03 -.1266E+07  .1454E+06   .9999988 -.0014988  .0002702
T   27  6 .4349572E+08   1506000E+03  .2972E+06 -.3177E+06   .9999995  .0000087  .0010070
T   28  6 .4348297E+08   1506000E+03  .8894E+06  .2886E+06   .9999995  .0009843 -.0001616
T   29  6 .4348864E+08   1506000E+03 -.6264E+06  .7901E+06   .9999996 -.0005233  .0007882
T   30  6 .4350417E+08   1506000E+03 -.7850E+06 -.1122E+07   .9999988 -.0005906 -.0014263
T   31  6 .4354122E+08   1506000E+03  .1408E+07 -.9959E+06   .9999988  .0006929 -.0013811
T   32  6 .4349500E+08   1506000E+03 -.2763E+05 -.9781E+06   .9999992  .0000884 -.0012528
T   33  6 .4359026E+08   1506000E+03 -.9158E+06 -.7620E+06   .9999990 -.0014329 -.0001177
