============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space+Tr. ROW 0+Tr.( 190. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 .4312871E+08   1906000E+03  .2327E+06  .8805E+06   .9999996  .0004783  .0007111
T    2  6 .4309485E+08   1906000E+03 -.2630E+07 -.2600E+07   .9999929 -.0028084 -.0025042
T    3  6 .4312159E+08   1906000E+03 -.2285E+06 -.1418E+07   .9999993  .0010331 -.0006289
T    4  6 .4318787E+08   1906000E+03  .9511E+06 -.6648E+06   .9999984 -.0000442 -.0017840
T    5  6 .4310545E+08   1906000E+03  .9343E+05 -.2509E+07   .9999959  .0001578 -.0028627
T    6  6 .4308749E+08   1906000E+03 -.6322E+07  .1873E+08   .9999052 -.0033144  .0133614
T    7  6 .4309928E+08   1906000E+03  .1048E+07 -.9420E+05   .9999999  .0003038  .0003634
T    8  6 .4314646E+08   1906000E+03 -.2104E+06 -.1141E+07   .9999974 -.0021738  .0006691
T    9  6 .4320057E+08   1906000E+03  .1799E+07  .9454E+06   .9999984  .0014119  .0011301
T   10  6 .4324285E+08   1906000E+03 -.1026E+07 -.1685E+07   .9999979  .0001536 -.0020339
T   11  6 .4314912E+08   1906000E+03  .3185E+07 -.2347E+07   .9999958  .0024107 -.0015990
T   12  6 .4311025E+08   1906000E+03  .1358E+06 -.6358E+05   .9999815  .0047264  .0038276
T   13  6 .4314780E+08   1906000E+03 -.1584E+07 -.7029E+06   .9999969 -.0024915  .0002415
T   14  6 .4313677E+08   1906000E+03 -.7417E+06  .8773E+06   .9999997 -.0004226  .0006936
T   15  6 .4314910E+08   1906000E+03  .5328E+06 -.1392E+07   .9999989  .0000848 -.0015010
T   16  6 .4321248E+08   1906000E+03  .1359E+07  .2856E+06   .9999984  .0012046  .0013070
T   17  6 .4312536E+08   1906000E+03 -.1531E+07 -.2178E+07   .9999956 -.0022137 -.0019850
T   18  6 .4316564E+08   1906000E+03 -.1524E+07 -.8559E+06   .9999980 -.0013519 -.0014431
T   19  6 .4316161E+08   1906000E+03 -.2703E+06  .5233E+06   .9999999 -.0001966  .0000466
T   20  6 .4307947E+08   1906000E+03  .7614E+07  .8367E+07   .9999658  .0056511  .0060427
T   21  6 .4314496E+08   1906000E+03  .8956E+06 -.6181E+06   .9999971  .0019428 -.0014416
T   22  6 .4315348E+08   1906000E+03 -.6290E+06 -.2536E+07   .9999996 -.0000978 -.0009070
T   23  6 .4314124E+08   1906000E+03 -.9875E+05  .5453E+07   .9999864 -.0001405  .0052172
T   24  6 .4310552E+08   1906000E+03 -.2690E+07 -.1423E+07   .9999965 -.0020120 -.0017313
T   25  6 .4314464E+08   1906000E+03  .8652E+06  .2004E+07   .9999992 -.0003120  .0012451
T   26  6 .4313517E+08   1906000E+03 -.2271E+07 -.2964E+06   .9999989 -.0014568 -.0003449
T   27  6 .4310890E+08   1906000E+03 -.4698E+06  .9936E+06   .9999991 -.0005976  .0012148
T   28  6 .4315028E+08   1906000E+03  .2687E+06  .1634E+06   .9999772  .0066693  .0010963
T   29  6 .4324260E+08   1906000E+03 -.2407E+07  .1026E+06   .9999883 -.0048373  .0000184
T   30  6 .4325360E+08   1906000E+03  .2359E+07 -.1937E+07   .9999942  .0018477 -.0028678
T   31  6 .4317809E+08   1906000E+03 -.6033E+06  .1759E+07   .9999986 -.0000095  .0016541
T   32  6 .4314375E+08   1906000E+03 -.3505E+05  .1525E+07   .9999991 -.0003646  .0012864
