============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space+Tr. ROW 0+Tr.( 270. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 ,4244162E+08   2706000E+03  ,7324E+06  ,1092E+07   ,9999981  ,0019648  ,0001744
T    2  6 ,4236283E+08   2706000E+03  ,4152E+07  ,2828E+07   ,9999977  ,0014520  ,0015904
T    3  6 ,4233200E+08   2706000E+03 -,7128E+06  ,3188E+07   ,9999976  ,0008766  ,0020244
T    4  6 ,4228526E+08   2706000E+03  ,2452E+07 -,2546E+07   ,9999968  ,0016837 -,0018755
T    5  6 ,4230890E+08   2706000E+03 -,2427E+07 -,1231E+07   ,9999992 -,0012384 -,0000258
T    6  6 ,4232355E+08   2706000E+03  ,1343E+07  ,1642E+07   ,9999995  ,0009338  ,0002447
T    7  6 ,4235256E+08   2706000E+03  ,2413E+07  ,1248E+07   ,9999989 -,0005835 -,0013340
T    8  6 ,4243674E+08   2706000E+03  ,1063E+07  ,9114E+07   ,9999863 -,0005789  ,0051931
T    9  6 ,4237383E+08   2706000E+03 -,5333E+06 -,7667E+07   ,9999898 -,0002356 -,0045031
T   10  6 ,4232988E+08   2706000E+03  ,8373E+06  ,1456E+07   ,9999996  ,0006662  ,0005853
T   11  6 ,4242050E+08   2706000E+03  ,1890E+07 -,1890E+07   ,9999973  ,0012634 -,0019543
T   12  6 ,4242865E+08   2706000E+03  ,2557E+07 -,2740E+07   ,9999977  ,0018010 -,0011283
T   13  6 ,4235652E+08   2706000E+03 -,1661E+07 -,2577E+07   ,9999992 -,0011310 -,0005783
T   14  6 ,4234725E+08   2706000E+03 -,1014E+07 -,2633E+07   ,9999985 -,0010129 -,0013955
T   15  6 ,4238486E+08   2706000E+03 -,9974E+07 -,9067E+07   ,9999630 -,0062683 -,0058906
T   16  6 ,4242539E+08   2706000E+03  ,3609E+06  ,3364E+07   ,9999977 -,0008043  ,0019797
T   17  6 ,4232603E+08   2706000E+03 -,2412E+07 -,8978E+06   ,9999978 -,0020889 -,0003191
T   18  6 ,4231072E+08   2706000E+03 -,4058E+07  ,2385E+07   ,9999948 -,0029812  ,0012247
T   19  6 ,4231580E+08   2706000E+03 -,7764E+06 -,2763E+07   ,9999978 -,0001383 -,0021084
T   20  6 ,4230955E+08   2706000E+03  ,3069E+07  ,1541E+07   ,9999979  ,0020631  ,0001436
T   21  6 ,4232974E+08   2706000E+03  ,4859E+07 -,2671E+07   ,9999949  ,0023407 -,0021882
T   22  6 ,4240477E+08   2706000E+03 -,2783E+07  ,4067E+07   ,9999980 -,0011039  ,0016457
T   23  6 ,4231947E+08   2706000E+03  ,4447E+06  ,2617E+07   ,9999991 -,0003519  ,0012973
T   24  6 ,4243304E+08   2706000E+03 -,2456E+07 -,1819E+07   ,9999985 -,0015680 -,0007044
T   25  6 ,4237435E+08   2706000E+03  ,8134E+06  ,5898E+06   ,9999995  ,0007909  ,0006584
T   26  6 ,4231597E+08   2706000E+03  ,5856E+06  ,2255E+07   ,9999997  ,0003953  ,0006496
T   27  6 ,4240283E+08   2706000E+03 -,7914E+06  ,6937E+06   ,9999997 -,0008039  ,0002087
T   28  6 ,4237741E+08   2706000E+03  ,1230E+07 -,2118E+07   ,9999997 -,0003979 -,0005895
T   29  6 ,4237366E+08   2706000E+03  ,6082E+06  ,1495E+07   ,9999993  ,0006621  ,0010176
T   30  6 ,4235993E+08   2706000E+03  ,5045E+06  ,1837E+06   ,9999980  ,0018142  ,0008870
