============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Au absorber+Ni4Si3 windo( 305. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 .4083351E+08   3056018E+03 -.9075E+07  .1228E+07   .9999914 -.0036424  .0019858
T    2  6 .4098127E+08   3056018E+03 -.9906E+07 -.5766E+07   .9999891 -.0039338 -.0025006
T    3  6 .4094802E+08   3056018E+03 -.1983E+07  .2132E+07   .9999990  .0003461  .0014066
T    4  6 .4091131E+08   3056018E+03 -.2867E+07  .1707E+07   .9999968 -.0022681 -.0011552
T    5  6 .4098765E+08   3056018E+03  .6335E+07  .4060E+07   .9999969  .0017883  .0017314
T    6  6 .4107085E+08   3056018E+03  .3098E+07  .5586E+07   .9999997  .0004401  .0006863
T    7  6 .4090521E+08   3056018E+03 -.6938E+07  .1181E+08   .9999849 -.0034166  .0043004
T    8  6 .4088648E+08   3056018E+03 -.1285E+07 -.3511E+07   .9999971 -.0012724 -.0020477
T    9  6 .4103163E+08   3056018E+03 -.1369E+07  .4901E+07   .9999966 -.0011614  .0023248
T   10  6 .4090589E+08   3056018E+03 -.4284E+07  .3200E+07   .9999962 -.0026826  .0006438
T   11  6 .4098705E+08   3056018E+03  .6010E+07  .4258E+07   .9999695  .0077068 -.0013003
T   12  6 .4094300E+08   3056018E+03  .3215E+06 -.6819E+07   .9999953 -.0008096 -.0029652
T   13  6 .4097147E+08   3056018E+03 -.1948E+08  .8842E+07   .9999788 -.0059570  .0026116
T   14  6 .4094841E+08   3056018E+03  .2657E+07 -.2459E+07   .9999979  .0008246 -.0018716
T   15  6 .4091289E+08   3056018E+03  .1552E+07  .4056E+07   .9999995 -.0007139  .0007335
T   16  6 .4095871E+08   3056018E+03  .1335E+07 -.5906E+07   .9999980  .0002073 -.0019752
T   17  6 .4096836E+08   3056018E+03 -.2536E+07 -.2376E+07   .9999995 -.0007919  .0006525
T   18  6 .4092646E+08   3056018E+03 -.3844E+07  .4605E+07   .9999992 -.0003058  .0012347
T   19  6 .4085350E+08   3056018E+03  .3394E+07  .1044E+08   .9999811 -.0012521  .0060258
T   20  6 .4097383E+08   3056018E+03 -.2910E+07 -.1136E+08   .9999927 -.0012988 -.0035995
T   21  6 .4083324E+08   3056018E+03 -.9510E+07 -.1350E+08   .9999775 -.0036738 -.0056177
T   22  6 .4088099E+08   3056018E+03 -.1130E+08 -.6776E+07   .9999858 -.0041742 -.0033196
T   23  6 .4097790E+08   3056018E+03 -.4479E+06  .1245E+08   .9999898 -.0001312  .0045082
T   24  6 .4087812E+08   3056018E+03 -.7777E+07  .6877E+07   .9999960 -.0020161  .0019630
T   25  6 .4096849E+08   3056018E+03  .9852E+07 -.1611E+07   .9999949  .0028584 -.0014324
T   26  6 .4091144E+08   3056018E+03  .3019E+07 -.7208E+07   .9999954  .0009694 -.0028707
T   27  6 .4093778E+08   3056018E+03 -.2149E+07 -.3287E+07   .9999976 -.0008885 -.0019825
T   28  6 .4087388E+08   3056018E+03  .6195E+07 -.7704E+07   .9999766  .0042346 -.0053690
T   29  6 .4085928E+08   3056018E+03  .2397E+06 -.3740E+07   .9999989  .0003094 -.0014632
T   30  6 .4097995E+08   3056018E+03  .2757E+07  .3442E+07   .9999997 -.0006819 -.0003429
T   31  6 .4092160E+08   3056018E+03  .1894E+08 -.2500E+07   .9998942  .0145415 -.0004148
T   32  6 .4096687E+08   3056018E+03 -.1514E+08 -.1154E+08   .9999717 -.0062099 -.0042423
T   33  6 .4099059E+08   3056018E+03 -.1276E+06  .5818E+07   .9999979  .0006266  .0019698
T   34  6 .4092156E+08   3056018E+03 -.6519E+07  .3456E+07   .9999974 -.0020003  .0010544
T   35  6 .4095537E+08   3056018E+03 -.1129E+08  .4493E+06   .9999875 -.0049905 -.0002006
T   36  6 .4094188E+08   3056018E+03 -.4161E+07  .8351E+07   .9999887 -.0008224  .0046924
T   37  6 .4098418E+08   3056018E+03 -.4232E+07 -.3887E+07   .9999907 -.0034399 -.0025835
T   38  6 .4097389E+08   3056018E+03 -.5021E+07 -.6937E+07   .9999949 -.0022980 -.0022346
T   39  6 .4096373E+08   3056018E+03 -.8200E+07  .2767E+07   .9999879 -.0044993 -.0019988
T   40  6 .4095633E+08   3056018E+03  .1134E+08  .1174E+07   .9999986  .0009698  .0013283
T   41  6 .4088909E+08   3056018E+03 -.6335E+07  .1016E+07   .9999973 -.0021507 -.0008466
T   42  6 .4093302E+08   3056018E+03 -.4874E+07  .5560E+06   .9999965 -.0024112  .0011175
T   43  6 .4098158E+08   3056018E+03 -.1693E+08  .1640E+08   .9999724 -.0052381  .0052635
T   44  6 .4089830E+08   3056018E+03 -.1839E+07 -.6542E+07   .9999964  .0001353 -.0026614
T   45  6 .4101441E+08   3056018E+03  .4649E+07  .2827E+07   .9999998  .0005885  .0002797
T   46  6 .4105279E+08   3056018E+03 -.5218E+07 -.8027E+07   .9999835 -.0036697 -.0044142
T   47  6 .4096398E+08   3056018E+03  .2010E+07  .1857E+08   .9999763  .0006759  .0068500
T   48  6 .4093695E+08   3056018E+03  .1713E+07  .5937E+06   .9999979  .0018120 -.0009785
T   49  6 .4108039E+08   3056018E+03 -.1047E+07  .5077E+06   .9999990  .0005428  .0012732
T   50  6 .4103777E+08   3056018E+03  .1137E+07  .1954E+06   .9999858 -.0052457 -.0009820
T   51  6 .4096191E+08   3056018E+03  .4987E+07  .5958E+07   .9999975  .0016152  .0015277
T   52  6 .4086327E+08   3056018E+03 -.1062E+08  .6413E+07   .9999834 -.0046128  .0034403
T   53  6 .4086190E+08   3056018E+03  .4721E+07  .9089E+06   .9999993  .0008850 -.0007818
T   54  6 .4080801E+08   3056018E+03 -.3323E+05 -.5024E+07   .9999875  .0001762 -.0050042
T   55  6 .4092260E+08   3056018E+03  .1336E+08 -.1952E+08   .9999533  .0063921 -.0072547
T   56  6 .4096060E+08   3056018E+03  .1440E+08 -.3198E+07   .9999844  .0055581  .0004617
T   57  6 .4089905E+08   3056018E+03 -.4084E+07 -.4114E+07   .9999970 -.0017754 -.0016746
T   58  6 .4107849E+08   3056018E+03 -.1408E+08 -.1032E+07   .9999797 -.0063648 -.0002210
T   59  6 .4097351E+08   3056018E+03 -.6687E+07 -.1300E+08   .9999806 -.0011084 -.0061255
T   60  6 .4094258E+08   3056018E+03 -.7988E+07 -.2100E+07   .9999903 -.0043246 -.0008828
T   61  6 .4093593E+08   3056018E+03 -.5102E+07 -.1228E+08   .9999676 -.0031587 -.0074048
T   62  6 .4090805E+08   3056018E+03 -.3807E+07 -.9849E+07   .9999987 -.0010340 -.0012646
T   63  6 .4087314E+08   3056018E+03 -.9454E+05 -.7507E+07   .9999996 -.0007627 -.0005473
T   64  6 .4091400E+08   3056018E+03 -.4124E+07 -.5116E+05   .9999961 -.0025488 -.0011169
T   65  6 .4094145E+08   3056018E+03  .1101E+08 -.5667E+07   .9999918  .0037440 -.0015560
T   66  6 .4082791E+08   3056018E+03  .1731E+07 -.2374E+07   .9999996  .0006069 -.0006237
T   67  6 .4086244E+08   3056018E+03  .6237E+07 -.4917E+06   .9999982  .0018659  .0003266
T   68  6 .4092590E+08   3056018E+03  .8388E+07 -.1439E+08   .9999610  .0036448 -.0080498
T   69  6 .4102184E+08   3056018E+03 -.5909E+07  .1343E+07   .9999943 -.0033047  .0006440
T   70  6 .4081514E+08   3056018E+03  .1560E+07 -.4836E+07   .9999997  .0006330 -.0004609
T   71  6 .4093056E+08   3056018E+03 -.2900E+07  .1338E+07   .9999998  .0001019  .0005713
T   72  6 .4086998E+08   3056018E+03  .5492E+07 -.1368E+08   .9999840  .0037793 -.0042044
T   73  6 .4098860E+08   3056018E+03  .8265E+07  .1844E+08   .9999686  .0018533  .0077079
T   74  6 .4094842E+08   3056018E+03  .4499E+07  .4049E+07   .9999992  .0012406  .0002236
T   75  6 .4090916E+08   3056018E+03 -.3719E+06 -.7199E+07   .9999945 -.0005188 -.0032877
T   76  6 .4095828E+08   3056018E+03  .1487E+08 -.1361E+06   .9999906  .0042184 -.0009815
T   77  6 .4099198E+08   3056018E+03  .4836E+07  .3196E+07   .9999821  .0046170  .0038065
T   78  6 .4099000E+08   3056018E+03  .3417E+07  .6227E+06   .9999950  .0029860  .0010066
T   79  6 .4100903E+08   3056018E+03  .4501E+06 -.5559E+07   .9999966  .0007198 -.0025194
T   80  6 .4099002E+08   3056018E+03  .3278E+07 -.8244E+07   .9998432 -.0086467 -.0154507
T   81  6 .4097777E+08   3056018E+03 -.1990E+07 -.3368E+07   .9999986 -.0006466 -.0015470
T   82  6 .4087909E+08   3056018E+03 -.6799E+07 -.5561E+07   .9999964 -.0025678 -.0008250
T   83  6 .4090317E+08   3056018E+03 -.1495E+07 -.2478E+06   .9999962  .0022347  .0016204
T   84  6 .4087871E+08   3056018E+03 -.2221E+07  .8595E+06   .9999989  .0005843  .0013791
T   85  6 .4095957E+08   3056018E+03 -.3044E+07 -.9250E+07   .9999906 -.0023253 -.0036562
T   86  6 .4091430E+08   3056018E+03  .1411E+07 -.6453E+07   .9999960  .0004537 -.0028024
T   87  6 .4098105E+08   3056018E+03 -.2109E+07  .5773E+07   .9999968  .0001225  .0025151
T   88  6 .4088676E+08   3056018E+03 -.1238E+08  .2143E+07   .9999864 -.0050642  .0012707
T   89  6 .4097241E+08   3056018E+03  .2281E+07 -.9595E+07   .9999957  .0020247 -.0021081
T   90  6 .4090771E+08   3056018E+03  .2574E+07  .4392E+07   .9999966  .0025348 -.0005334
T   91  6 .4102120E+08   3056018E+03 -.4514E+06  .4180E+07   .9999960 -.0027069  .0008395
T   92  6 .4102222E+08   3056018E+03  .4781E+07 -.6484E+06   .9999838  .0056591 -.0005420
T   93  6 .4105658E+08   3056018E+03 -.8616E+06 -.3205E+07   .9999990 -.0008399 -.0011033
T   94  6 .4092857E+08   3056018E+03  .4010E+07  .4813E+07   .9999974  .0015147  .0016862
T   95  6 .4094919E+08   3056018E+03 -.1200E+08 -.4497E+07   .9999842 -.0052785 -.0019278
T   96  6 .4100821E+08   3056018E+03 -.2403E+07 -.6885E+06   .9999976 -.0016642  .0013991
T   97  6 .4094016E+08   3056018E+03  .5706E+07  .2507E+07   .9999996  .0008891  .0000041
T   98  6 .4111831E+08   3056018E+03  .5450E+07 -.1821E+07   .9999997  .0007543 -.0000072
T   99  6 .4097953E+08   3056018E+03 -.3855E+07  .8430E+07   .9999891 -.0041815  .0020575
T  100  6 .4103820E+08   3056018E+03 -.2179E+08 -.1038E+06   .9999835 -.0057437  .0001103
T  101  6 .4095884E+08   3056018E+03 -.7886E+06  .8053E+07   .9999964 -.0013657  .0023126
T  102  6 .4088495E+08   3056018E+03 -.7479E+07 -.5510E+07   .9999961 -.0023818 -.0014682
T  103  6 .4106758E+08   3056018E+03 -.4217E+07 -.1130E+08   .9999907 -.0005830 -.0042730
T  104  6 .4096030E+08   3056018E+03 -.1957E+07 -.1555E+07   .9999998 -.0006318  .0002718
T  105  6 .4083735E+08   3056018E+03 -.4039E+07  .6903E+07   .9999956  .0012206  .0026914
T  106  6 .4097946E+08   3056018E+03 -.5424E+07 -.4857E+07   .9999945 -.0021224 -.0025340
T  107  6 .4095417E+08   3056018E+03 -.6735E+07  .4613E+07   .9999691 -.0078660  .0000150
T  108  6 .4093532E+08   3056018E+03 -.8353E+06 -.7540E+07   .9999978 -.0002773 -.0020643
T  109  6 .4084688E+08   3056018E+03 -.9324E+07 -.4161E+07   .9999937 -.0033120 -.0012387
T  110  6 .4090546E+08   3056018E+03 -.1437E+07 -.4057E+07   .9999953 -.0020048 -.0023170
T  111  6 .4103119E+08   3056018E+03 -.8692E+07  .9553E+07   .9999843 -.0042223  .0036918
T  112  6 .4094645E+08   3056018E+03  .3139E+07 -.6949E+07   .9999870  .0021006 -.0046514
T  113  6 .4080928E+08   3056018E+03 -.3022E+07  .4021E+07   .9999999 -.0003120  .0000307
T  114  6 .4090943E+08   3056018E+03 -.5045E+07 -.2536E+07   .9999984 -.0011067 -.0013772
T  115  6 .4091970E+08   3056018E+03 -.1325E+08 -.3184E+07   .9999888 -.0045719 -.0012385
T  116  6 .4089018E+08   3056018E+03  .3330E+07  .3506E+07   .9999993  .0011810  .0001556
T  117  6 .4093804E+08   3056018E+03  .1972E+07 -.5282E+06   .9999970  .0012882 -.0021005
T  118  6 .4081000E+08   3056018E+03  .1276E+08  .8628E+07   .9999944  .0028427  .0017865
T  119  6 .4085152E+08   3056018E+03  .1559E+08  .2336E+08   .9997107  .0154863  .0184010
T  120  6 .4092250E+08   3056018E+03 -.6504E+07 -.9573E+06   .9999929 -.0037231  .0005298
T  121  6 .4092664E+08   3056018E+03  .1562E+07 -.6121E+07   .9999972 -.0001593 -.0023608
T  122  6 .4094211E+08   3056018E+03  .4432E+07 -.1042E+08   .9999799  .0035657 -.0052415
