============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Dead space+Tr. ROW 0+Tr.( 190. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 .6114351E+08   1906000E+03  .1369E+06  .1422E+07   .9999990  .0001844  .0013811
T    2  8 .6096976E+08   1906000E+03  .8462E+06 -.3341E+06   .9999994  .0010560 -.0001619
T    3  8 .6107286E+08   1906000E+03 -.4759E+06  .2071E+07   .9999990 -.0008629  .0010951
T    4  8 .6094436E+08   1906000E+03  .8294E+06  .3730E+06   .9999998  .0005874  .0000664
T    5  8 .6116562E+08   1906000E+03  .1146E+07 -.2739E+07   .9999949  .0011516 -.0029677
T    6  8 .6103477E+08   1906000E+03  .9419E+06 -.1221E+07   .9999986  .0013197 -.0010747
T    7  8 .6101326E+08   1906000E+03  .1903E+07 -.5857E+06   .9999979  .0020295  .0002989
T    8  8 .6103425E+08   1906000E+03  .2988E+07  .3268E+07   .9999793  .0044112  .0046907
T    9  8 .6112798E+08   1906000E+03  .2158E+07  .2887E+06   .9999979  .0019809 -.0006059
T   10  8 .6105599E+08   1906000E+03  .9938E+05 -.1306E+06   .9999995  .0009198  .0004329
T   11  8 .6099897E+08   1906000E+03  .8489E+04  .1051E+07   .9999992  .0011834 -.0004225
T   12  8 .6101624E+08   1906000E+03  .5078E+07 -.2418E+07   .9999973  .0015706 -.0016908
T   13  8 .6110728E+08   1906000E+03  .3032E+06  .1218E+07   .9999996 -.0003781  .0008677
T   14  8 .6098405E+08   1906000E+03 -.9783E+06 -.1329E+07   .9999987 -.0011265 -.0011766
T   15  8 .6117344E+08   1906000E+03 -.8183E+06 -.1024E+07   .9999989 -.0008881 -.0011821
T   16  8 .6110977E+08   1906000E+03 -.1371E+07 -.7657E+06   .9999987 -.0014252 -.0007435
T   17  8 .6109089E+08   1906000E+03  .2512E+07  .4811E+06   .9999924  .0031163  .0023227
T   18  8 .6105245E+08   1906000E+03  .2875E+07  .5920E+07   .9999823  .0033556  .0049134
T   19  8 .6106876E+08   1906000E+03 -.5684E+06 -.6752E+06   .9999997 -.0001186  .0008248
T   20  8 .6111271E+08   1906000E+03 -.2579E+07 -.1793E+07   .9999962 -.0027059 -.0004583
T   21  8 .6101246E+08   1906000E+03 -.6037E+05  .1188E+07   .9999979  .0012047  .0016279
T   22  8 .6103753E+08   1906000E+03  .9193E+06  .6649E+06   .9999998  .0005804  .0002254
T   23  8 .6102334E+08   1906000E+03  .1164E+07  .2038E+07   .9999955  .0020845  .0021579
T   24  8 .6105093E+08   1906000E+03  .2278E+07 -.1768E+07   .9999966  .0018564 -.0018557
T   25  8 .6112222E+08   1906000E+03 -.1403E+07  .1864E+07   .9999980 -.0019612 -.0004918
T   26  8 .6103483E+08   1906000E+03 -.4619E+07 -.7530E+06   .9999926 -.0038288 -.0004491
T   27  8 .6095717E+08   1906000E+03 -.1761E+06  .3421E+06   .9999995  .0006223  .0007609
T   28  8 .6098930E+08   1906000E+03 -.5351E+06 -.3566E+07   .9999951 -.0009888 -.0029828
T   29  8 .6117309E+08   1906000E+03 -.3224E+07  .8486E+06   .9999945 -.0033190 -.0000108
T   30  8 .6107381E+08   1906000E+03 -.1494E+07 -.1952E+07   .9999983 -.0002486 -.0018350
T   31  8 .6102890E+08   1906000E+03  .1181E+07  .2407E+06   .9999971  .0021445  .0010586
T   32  8 .6103476E+08   1906000E+03  .4054E+06 -.1232E+07   .9999991  .0002743 -.0012754
T   33  8 .6102767E+08   1906000E+03  .4955E+06  .2844E+07   .9999979  .0002821  .0020138
T   34  8 .6107726E+08   1906000E+03  .7473E+06  .8444E+06   .9999995 -.0003533  .0009674
T   35  8 .6125657E+08   1906000E+03 -.8400E+06  .1637E+07   .9999962  .0000091  .0027729
T   36  8 .6109192E+08   1906000E+03 -.1263E+07  .8164E+06   .9999990 -.0007815  .0011564
T   37  8 .6107583E+08   1906000E+03  .2033E+06 -.7585E+06   .9999997 -.0000530  .0008184
T   38  8 .6110685E+08   1906000E+03 -.1676E+07  .2405E+06   .9999991 -.0013680 -.0000336
T   39  8 .6109837E+08   1906000E+03 -.1099E+06 -.5956E+06   .9999999 -.0003857 -.0000542
T   40  8 .6096070E+08   1906000E+03  .1124E+07  .9812E+06   .9999981  .0017091  .0009176
T   41  8 .6100876E+08   1906000E+03  .1659E+07  .5319E+06   .9999979  .0017619  .0010262
T   42  8 .6103465E+08   1906000E+03 -.1751E+06  .1717E+07   .9999975  .0005708  .0021806
T   43  8 .6115879E+08   1906000E+03 -.1618E+07  .1028E+06   .9999988 -.0013553  .0007099
T   44  8 .6097796E+08   1906000E+03  .1925E+07 -.1763E+07   .9999953  .0021926 -.0021296
T   45  8 .6111807E+08   1906000E+03 -.1616E+06  .1297E+06   .9999996 -.0009161  .0001573
T   46  8 .6099696E+08   1906000E+03  .7566E+06  .1189E+07   .9999974 -.0009511  .0020779
T   47  8 .6108930E+08   1906000E+03 -.3500E+07 -.1982E+07   .9999974 -.0017443 -.0014524
T   48  8 .6124520E+08   1906000E+03  .2751E+07 -.1352E+07   .9999954  .0026142 -.0015319
T   49  8 .6106585E+08   1906000E+03  .7323E+06 -.9788E+04   .9999997 -.0004598 -.0006470
T   50  8 .6115076E+08   1906000E+03  .7199E+06 -.3444E+07   .9999987  .0003166 -.0015896
T   51  8 .6113764E+08   1906000E+03 -.4704E+06  .5701E+06   .9999985 -.0006569  .0016139
T   52  8 .6099976E+08   1906000E+03  .3962E+05 -.1417E+05   .9999982 -.0014456  .0012184
T   53  8 .6110344E+08   1906000E+03 -.1057E+07 -.4804E+05   .9999962  .0003057  .0027506
T   54  8 .6113651E+08   1906000E+03  .6337E+06  .1898E+07   .9999892  .0020364  .0041841
T   55  8 .6110463E+08   1906000E+03 -.1356E+07  .1682E+07   .9999912 -.0039214  .0014962
T   56  8 .6114417E+08   1906000E+03 -.2022E+07 -.1601E+07   .9999986 -.0013059 -.0010589
T   57  8 .6101443E+08   1906000E+03 -.2151E+07  .6028E+05   .9999982 -.0018513  .0004402
T   58  8 .6110734E+08   1906000E+03 -.1460E+07 -.9684E+06   .9999990 -.0009972 -.0009588
T   59  8 .6107976E+08   1906000E+03 -.7383E+06 -.4913E+06   .9999999 -.0002951  .0001238
T   60  8 .6105456E+08   1906000E+03  .3042E+06 -.5221E+07   .9999960 -.0000199 -.0028408
T   61  8 .6111069E+08   1906000E+03  .1003E+06  .7322E+06   .9999996 -.0002425  .0008510
T   62  8 .6107887E+08   1906000E+03  .3408E+06 -.1881E+07   .9999993 -.0007674 -.0008808
T   63  8 .6108335E+08   1906000E+03 -.1479E+07 -.2775E+07   .9999966 -.0014365 -.0021698
