============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Dead space+Tr. ROW 0+Tr.( 270. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 ,5984383E+08   2706000E+03 -,1108E+06  ,2522E+07   ,9999988 -,0006126  ,0014511
T    2  8 ,5986548E+08   2706000E+03  ,6588E+06 -,9314E+06   ,9999996  ,0006436  ,0006250
T    3  8 ,5979889E+08   2706000E+03 -,1350E+07  ,3037E+07   ,9999990 -,0010611 -,0009715
T    4  8 ,5978338E+08   2706000E+03 -,2323E+07  ,9721E+05   ,9999990 -,0011771  ,0007344
T    5  8 ,5976116E+08   2706000E+03 -,3578E+06  ,2495E+07   ,9999994  ,0006629 -,0008442
T    6  8 ,5998126E+08   2706000E+03 -,5448E+06  ,6311E+07   ,9999909 -,0003309  ,0042580
T    7  8 ,5985955E+08   2706000E+03  ,3274E+07 -,2517E+07   ,9999916  ,0024689 -,0032860
T    8  8 ,5977807E+08   2706000E+03  ,5437E+06  ,1158E+07   ,9999973 -,0002539  ,0022949
T    9  8 ,5976096E+08   2706000E+03 -,4958E+07 -,3955E+06   ,9999946 -,0031105 -,0010169
T   10  8 ,5982581E+08   2706000E+03  ,1643E+07  ,7612E+06   ,9999979  ,0019828 -,0005935
T   11  8 ,5977139E+08   2706000E+03  ,1107E+07 -,5047E+07   ,9999949  ,0002035 -,0031872
T   12  8 ,5976658E+08   2706000E+03 -,2707E+07 -,2457E+06   ,9999997 -,0007431 -,0000343
T   13  8 ,5988346E+08   2706000E+03 -,2028E+07  ,4739E+06   ,9999982 -,0016783  ,0008800
T   14  8 ,5984740E+08   2706000E+03 -,2340E+08 -,1921E+08   ,9999382 -,0080715 -,0076510
T   15  8 ,5978393E+08   2706000E+03  ,1547E+07  ,3472E+07   ,9999943  ,0016787  ,0029365
T   16  8 ,5984762E+08   2706000E+03 -,2318E+07  ,6806E+06   ,9999976 -,0021780 -,0001819
T   17  8 ,5986232E+08   2706000E+03 -,1777E+07 -,4322E+07   ,9999952 -,0010922 -,0029128
T   18  8 ,5977283E+08   2706000E+03 -,9204E+06 -,3734E+07   ,9999960 -,0003282 -,0027990
T   19  8 ,5976803E+08   2706000E+03  ,2184E+07  ,8846E+06   ,9999993  ,0011513 -,0002694
T   20  8 ,5974672E+08   2706000E+03  ,5701E+06 -,1264E+07   ,9999992  ,0001248 -,0012287
T   21  8 ,5980087E+08   2706000E+03 -,1789E+07  ,2868E+06   ,9999982 -,0017660  ,0007050
T   22  8 ,5991772E+08   2706000E+03 -,1619E+06 -,6150E+06   ,9999994 -,0005700  ,0009646
T   23  8 ,5971761E+08   2706000E+03 -,5951E+06  ,1890E+07   ,9999996 -,0000542  ,0008717
T   24  8 ,5993906E+08   2706000E+03 -,1289E+08  ,7595E+07   ,9999780 -,0056638  ,0034450
T   25  8 ,5986062E+08   2706000E+03 -,1513E+07  ,6255E+06   ,9999993 -,0009012 -,0007226
T   26  8 ,5980048E+08   2706000E+03  ,1854E+07  ,3438E+07   ,9999979  ,0014481  ,0014522
T   27  8 ,5990642E+08   2706000E+03 -,1791E+07  ,2789E+06   ,9999877 -,0048877  ,0008628
T   28  8 ,5977155E+08   2706000E+03 -,1669E+06  ,3377E+07   ,9999987 -,0009792  ,0012676
T   29  8 ,5981313E+08   2706000E+03  ,4001E+06 -,2249E+07   ,9999998  ,0005120 -,0002573
T   30  8 ,5989754E+08   2706000E+03  ,7769E+06 -,3832E+07   ,9999986  ,0006858 -,0015278
T   31  8 ,5972414E+08   2706000E+03  ,1086E+06  ,2775E+07   ,9999996 -,0007460  ,0004189
T   32  8 ,5985948E+08   2706000E+03  ,5429E+06 -,2897E+07   ,9999963  ,0027110 -,0000300
T   33  8 ,5979964E+08   2706000E+03 -,2193E+07 -,1798E+07   ,9999988 -,0002838 -,0015092
T   34  8 ,5988982E+08   2706000E+03 -,1262E+07  ,1508E+07   ,9999964 -,0013244  ,0023500
T   35  8 ,5971826E+08   2706000E+03 -,2010E+07 -,3038E+06   ,9999979 -,0018661 -,0008015
T   36  8 ,5988881E+08   2706000E+03 -,2596E+07  ,4174E+07   ,9999915 -,0022791  ,0034234
T   37  8 ,5988123E+08   2706000E+03  ,3247E+07 -,2488E+07   ,9999979  ,0014038 -,0015062
T   38  8 ,5984144E+08   2706000E+03 -,2148E+07  ,2295E+07   ,9999982 -,0010583  ,0015493
T   39  8 ,5989041E+08   2706000E+03  ,1381E+07 -,1653E+06   ,9999980  ,0014173 -,0014306
T   40  8 ,5978235E+08   2706000E+03 -,2860E+06  ,3082E+07   ,9999987 -,0004752  ,0015319
T   41  8 ,5989209E+08   2706000E+03 -,3870E+07 -,1042E+07   ,9999988 -,0015212 -,0002232
T   42  8 ,5974530E+08   2706000E+03 -,2012E+07 -,8911E+07   ,9999881 -,0022654 -,0043092
T   43  8 ,5980530E+08   2706000E+03  ,5307E+04  ,2778E+07   ,9999998  ,0001068  ,0006608
T   44  8 ,5983593E+08   2706000E+03 -,2561E+07 -,3880E+07   ,9999971 -,0007259 -,0022959
T   45  8 ,5985813E+08   2706000E+03 -,7913E+06  ,5254E+06   ,9999999 -,0003921  ,0002964
T   46  8 ,5975068E+08   2706000E+03  ,5901E+07  ,2757E+07   ,9999967  ,0024380  ,0008378
T   47  8 ,5981015E+08   2706000E+03  ,1885E+07  ,6087E+06   ,9999994  ,0002061  ,0011072
T   48  8 ,5974004E+08   2706000E+03  ,1959E+06  ,1245E+07   ,9999998 -,0002165  ,0005198
T   49  8 ,5974141E+08   2706000E+03  ,3360E+06  ,3390E+06   ,9999992  ,0006431  ,0010774
T   50  8 ,5992927E+08   2706000E+03  ,2486E+07 -,1899E+07   ,9999989  ,0014472 -,0002511
T   51  8 ,5985992E+08   2706000E+03 -,6387E+06 -,2783E+06   ,9999995 -,0008896  ,0005096
T   52  8 ,5989146E+08   2706000E+03 -,2159E+07 -,1885E+07   ,9999989 -,0006476 -,0013151
T   53  8 ,5984890E+08   2706000E+03  ,9830E+06  ,3731E+06   ,9999985  ,0015571 -,0007794
T   54  8 ,5982332E+08   2706000E+03  ,1761E+07 -,2448E+07   ,9999979  ,0003857 -,0020007
T   55  8 ,5983829E+08   2706000E+03 -,7994E+06 -,1849E+07   ,9999985 -,0009401 -,0014732
T   56  8 ,5984126E+08   2706000E+03 -,5339E+06 -,2499E+07   ,9999992 -,0004214 -,0012055
T   57  8 ,5979201E+08   2706000E+03 -,3709E+07 -,1825E+07   ,9999961 -,0026072 -,0010475
T   58  8 ,5974633E+08   2706000E+03  ,1182E+06 -,4634E+07   ,9999976  ,0005478 -,0021352
T   59  8 ,5985770E+08   2706000E+03  ,1179E+07 -,1270E+07   ,9999995  ,0009559 -,0002173
T   60  8 ,5979379E+08   2706000E+03  ,8727E+07  ,5485E+07   ,9999397  ,0101731  ,0041418
T   61  8 ,5986879E+08   2706000E+03  ,4579E+06  ,1004E+06   ,9999995 -,0008642  ,0004240
T   62  8 ,5986113E+08   2706000E+03  ,2879E+07 -,1114E+07   ,9999996 -,0008609  ,0002213
T   63  8 ,5991277E+08   2706000E+03 -,5270E+05  ,8371E+06   ,9999996  ,0008296  ,0002144
T   64  8 ,5980469E+08   2706000E+03 -,1133E+07  ,5660E+06   ,9999993 -,0007078  ,0009650
T   65  8 ,5978428E+08   2706000E+03  ,4386E+07  ,3918E+06   ,9999944  ,0030600  ,0013368
T   66  8 ,5998274E+08   2706000E+03  ,6486E+06 -,1960E+07   ,9999993  ,0002612 -,0011174
T   67  8 ,5996840E+08   2706000E+03 -,2857E+07 -,3328E+07   ,9999941 -,0028110 -,0019551
T   68  8 ,5989295E+08   2706000E+03 -,8706E+07  ,6462E+07   ,9999868 -,0039910  ,0032402
T   69  8 ,5991519E+08   2706000E+03  ,4778E+07 -,2833E+07   ,9999964  ,0019731 -,0018376
T   70  8 ,5991024E+08   2706000E+03 -,2578E+07 -,2600E+07   ,9999991 -,0011533 -,0007481
T   71  8 ,5985831E+08   2706000E+03 -,5542E+07  ,5861E+06   ,9999923 -,0037068  ,0013007
T   72  8 ,5991214E+08   2706000E+03 -,2855E+07  ,1918E+07   ,9999989 -,0014218  ,0004698
T   73  8 ,5990941E+08   2706000E+03 -,2742E+07 -,2968E+07   ,9999972 -,0013568 -,0019212
T   74  8 ,5981541E+08   2706000E+03  ,3645E+07  ,2347E+07   ,9999948  ,0022489  ,0023308
T   75  8 ,5984981E+08   2706000E+03  ,5270E+06 -,2886E+07   ,9999986 -,0008447 -,0014096
T   76  8 ,5988388E+08   2706000E+03 -,3305E+07 -,7478E+06   ,9999958 -,0028071 -,0006973
T   77  8 ,5979167E+08   2706000E+03  ,7816E+07 -,1809E+06   ,9999810  ,0060794  ,0010403
T   78  8 ,5981040E+08   2706000E+03 -,1548E+07 -,2110E+07   ,9999969 -,0019416 -,0015359
T   79  8 ,5980144E+08   2706000E+03 -,3034E+06  ,2914E+06   ,9999999 -,0000607 -,0002371
T   80  8 ,5974216E+08   2706000E+03  ,9655E+05 -,1966E+07   ,9999985  ,0016008 -,0007004
T   81  8 ,5984159E+08   2706000E+03 -,7018E+06 -,3935E+07   ,9999968 -,0004663 -,0024703
T   82  8 ,5988086E+08   2706000E+03  ,1834E+07 -,1566E+07   ,9999993  ,0010775 -,0004949
T   83  8 ,5972361E+08   2706000E+03 -,1441E+07  ,1472E+07   ,9999976  ,0001570  ,0022012
T   84  8 ,5977614E+08   2706000E+03  ,1293E+06  ,2088E+07   ,9999985  ,0008192  ,0015058
T   85  8 ,5976877E+08   2706000E+03  ,3770E+06 -,2784E+07   ,9999992  ,0008081 -,0009475
T   86  8 ,5984113E+08   2706000E+03 -,1001E+07  ,1950E+06   ,9999988 -,0013573  ,0007179
T   87  8 ,5969785E+08   2706000E+03  ,2372E+07 -,8806E+06   ,9999996  ,0007851 -,0004024
T   88  8 ,5994538E+08   2706000E+03 -,1392E+07 -,2480E+07   ,9999954 -,0025233 -,0017035
T   89  8 ,5990770E+08   2706000E+03 -,6267E+06 -,4593E+07   ,9999953  ,0000625 -,0030782
T   90  8 ,5983255E+08   2706000E+03 -,2257E+07 -,1129E+07   ,9999982 -,0009390 -,0016713
T   91  8 ,5992336E+08   2706000E+03 -,4425E+06 -,1553E+07   ,9999999 -,0000832  ,0002734
T   92  8 ,5985950E+08   2706000E+03  ,1618E+07 -,2105E+07   ,9999991  ,0010077 -,0008298
T   93  8 ,5980981E+08   2706000E+03 -,6270E+06 -,1417E+07   ,9999983 -,0016226 -,0008816
T   94  8 ,5996465E+08   2706000E+03 -,1641E+07  ,1214E+07   ,9999997 -,0006563  ,0003234
T   95  8 ,5972997E+08   2706000E+03 -,4185E+06 -,2254E+07   ,9999915 -,0031665 -,0026499
T   96  8 ,5979818E+08   2706000E+03  ,1882E+07 -,6773E+07   ,9999962  ,0005409 -,0026871
T   97  8 ,5976280E+08   2706000E+03  ,1964E+07 -,1292E+07   ,9999971  ,0018854 -,0014680
