============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Au absorber+Ni4Si3 windo( 305. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 .5751323E+08   3056018E+03 -.8029E+06 -.2251E+07   .9999996  .0006877  .0005207
T    2  8 .5744932E+08   3056018E+03  .7587E+07 -.3143E+08   .9997200  .0088092 -.0219639
T    3  8 .5755029E+08   3056018E+03 -.1689E+07  .2915E+07   .9999994 -.0003172  .0010766
T    4  8 .5760328E+08   3056018E+03 -.3718E+07 -.2372E+07   .9999980 -.0005725 -.0019003
T    5  8 .5771841E+08   3056018E+03  .7671E+07  .7191E+07   .9999912  .0032297  .0026833
T    6  8 .5760273E+08   3056018E+03 -.2691E+07 -.3673E+07   .9999982 -.0017222  .0008094
T    7  8 .5760500E+08   3056018E+03  .3435E+07  .2566E+08   .9999532  .0011466  .0096105
T    8  8 .5768689E+08   3056018E+03  .5659E+07 -.1135E+08   .9999934  .0010598 -.0034628
T    9  8 .5759687E+08   3056018E+03 -.7516E+07  .2205E+07   .9999920 -.0039271  .0007110
T   10  8 .5760406E+08   3056018E+03 -.4807E+07 -.2600E+07   .9999968 -.0018366 -.0017620
T   11  8 .5761812E+08   3056018E+03 -.1154E+07  .5613E+07   .9999999  .0000103 -.0001486
T   12  8 .5763338E+08   3056018E+03  .3780E+07 -.1895E+07   .9999994  .0003600 -.0010623
T   13  8 .5779034E+08   3056018E+03 -.8122E+07  .2232E+07   .9999707 -.0074586  .0017450
T   14  8 .5770676E+08   3056018E+03 -.3925E+07 -.1359E+08   .9999918 -.0028513 -.0028759
T   15  8 .5759457E+08   3056018E+03  .4909E+07 -.5259E+07   .9999957  .0018581 -.0022518
T   16  8 .5768907E+08   3056018E+03 -.3675E+06  .5192E+07   .9999971  .0007273  .0022740
T   17  8 .5773047E+08   3056018E+03 -.2991E+07 -.3789E+07   .9999996 -.0007902 -.0004254
T   18  8 .5750086E+08   3056018E+03  .5770E+07  .5838E+07   .9999917  .0036448  .0018391
T   19  8 .5753333E+08   3056018E+03 -.5965E+07  .4102E+07   .9999955 -.0030026  .0002892
T   20  8 .5765002E+08   3056018E+03 -.1894E+07  .3201E+07   .9999999  .0003308  .0000217
T   21  8 .5760641E+08   3056018E+03  .1151E+07  .1202E+07   .9999985  .0011632 -.0012695
T   22  8 .5755927E+08   3056018E+03  .9282E+07 -.5910E+07   .9999864  .0046147 -.0024161
T   23  8 .5763206E+08   3056018E+03  .5897E+07  .7579E+07   .9999935  .0022498  .0028172
T   24  8 .5774429E+08   3056018E+03 -.8144E+07  .4593E+07   .9999936 -.0032879  .0014414
T   25  8 .5744014E+08   3056018E+03  .1364E+08 -.1007E+08   .9999750  .0063299 -.0031370
T   26  8 .5751204E+08   3056018E+03  .3904E+07 -.9137E+06   .9999999  .0001298 -.0003692
T   27  8 .5760513E+08   3056018E+03  .5368E+07 -.3453E+07   .9999955  .0028306 -.0010024
T   28  8 .5767489E+08   3056018E+03  .3843E+06 -.1231E+08   .9999957 -.0025780 -.0014098
T   29  8 .5760508E+08   3056018E+03 -.7165E+07 -.3996E+07   .9999926 -.0034326 -.0017213
T   30  8 .5769229E+08   3056018E+03 -.6094E+07 -.8326E+07   .9999946 -.0014911 -.0029409
T   31  8 .5767524E+08   3056018E+03 -.2245E+07 -.3059E+07   .9999994 -.0010572  .0001068
T   32  8 .5754195E+08   3056018E+03 -.3728E+08  .2752E+08   .9998900 -.0118407  .0089300
T   33  8 .5773790E+08   3056018E+03  .4432E+07  .4014E+07   .9999942  .0030084  .0015837
T   34  8 .5754104E+08   3056018E+03  .4533E+08  .1512E+08   .9998510  .0156781  .0072267
T   35  8 .5758931E+08   3056018E+03  .5387E+07  .8259E+06   .9999973  .0022854 -.0004306
T   36  8 .5762229E+08   3056018E+03 -.3890E+07  .2949E+06   .9999960 -.0023946  .0014823
T   37  8 .5754871E+08   3056018E+03 -.2511E+07 -.2495E+07   .9999987 -.0013280 -.0009658
T   38  8 .5761204E+08   3056018E+03  .8999E+07 -.1257E+07   .9999979  .0020245  .0001117
T   39  8 .5759000E+08   3056018E+03 -.4385E+07 -.1081E+08   .9999906 -.0017719 -.0039668
T   40  8 .5758884E+08   3056018E+03  .2142E+07  .3899E+07   .9999993 -.0011779  .0002615
T   41  8 .5755574E+08   3056018E+03 -.7277E+07 -.8868E+06   .9999979 -.0016773  .0011349
T   42  8 .5767354E+08   3056018E+03  .3435E+06  .1216E+08   .9999919 -.0001816  .0040286
T   43  8 .5765835E+08   3056018E+03  .7591E+06 -.9278E+07   .9999982  .0002415 -.0018701
T   44  8 .5755561E+08   3056018E+03 -.1765E+08  .3027E+08   .9999236 -.0058876  .0108733
T   45  8 .5753812E+08   3056018E+03  .9563E+07 -.1542E+07   .9999959  .0027934 -.0006951
T   46  8 .5767886E+08   3056018E+03 -.1466E+07  .3657E+07   .9999974  .0011097  .0019823
T   47  8 .5750600E+08   3056018E+03 -.1349E+07 -.1039E+08   .9999866 -.0015728 -.0049399
T   48  8 .5749982E+08   3056018E+03  .1611E+07  .2121E+07   .9999988  .0008229  .0013114
T   49  8 .5763398E+08   3056018E+03  .1039E+07 -.2024E+07   .9999995  .0000436 -.0009754
T   50  8 .5759518E+08   3056018E+03 -.1014E+07  .1256E+08   .9999703 -.0008699  .0076557
T   51  8 .5738211E+08   3056018E+03  .2027E+06 -.2642E+07   .9999975  .0016454 -.0015240
T   52  8 .5773875E+08   3056018E+03  .5920E+07  .5198E+07   .9999957  .0023899  .0017019
T   53  8 .5760324E+08   3056018E+03 -.4713E+07  .2134E+06   .9999973 -.0023216 -.0000926
T   54  8 .5771518E+08   3056018E+03 -.3239E+07 -.2849E+07   .9999947 -.0017615 -.0027219
T   55  8 .5773858E+08   3056018E+03  .2667E+07 -.6650E+07   .9999964  .0011843 -.0024079
T   56  8 .5758051E+08   3056018E+03 -.4280E+07 -.5401E+07   .9999967 -.0019429 -.0017064
T   57  8 .5774030E+08   3056018E+03  .4115E+07  .2813E+07   .9999985  .0010539  .0013501
T   58  8 .5770580E+08   3056018E+03  .1278E+07 -.2623E+07   .9999995  .0005707 -.0007818
T   59  8 .5761038E+08   3056018E+03 -.1691E+06 -.9365E+06   .9999998 -.0003702 -.0005207
