============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Au absorber+Ni4Si3 windo( 145. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  3 .2292797E+08   1456018E+03 -.8818E+07 -.1158E+07   .9999807 -.0061902  .0005626
T    2  3 .2289674E+08   1456018E+03 -.9014E+07  .2334E+08   .9998517 -.0065284  .0159385
T    3  3 .2301029E+08   1456018E+03 -.1518E+08  .2148E+08   .9998260 -.0108489  .0151741
T    4  3 .2299007E+08   1456018E+03 -.2491E+08  .7551E+07   .9998530 -.0165509  .0044763
T    5  3 .2306694E+08   1456018E+03 -.1185E+07 -.3371E+07   .9999944 -.0023766 -.0023744
T    6  3 .2301586E+08   1456018E+03 -.7042E+07  .5066E+08   .9993903 -.0045660  .0346153
T    7  3 .2294860E+08   1456018E+03  .5619E+07 -.1851E+08   .9999091  .0050334 -.0125117
T    8  3 .2296285E+08   1456018E+03 -.1377E+08 -.2321E+07   .9999456 -.0103790 -.0010071
T    9  3 .2302025E+08   1456018E+03  .1772E+07 -.5538E+07   .9999877  .0028974 -.0040335
T   10  3 .2298342E+08   1456018E+03 -.1554E+07 -.1143E+07   .9999993 -.0011518 -.0001958
T   11  3 .2291649E+08   1456018E+03  .2250E+08 -.3681E+07   .9998778  .0154755 -.0022047
T   12  3 .2299616E+08   1456018E+03  .4282E+07  .1897E+07   .9999933  .0034919  .0010934
T   13  3 .2300043E+08   1456018E+03 -.6363E+07  .4971E+07   .9999798 -.0040258  .0049121
T   14  3 .2303539E+08   1456018E+03  .4405E+08  .2282E+08   .9993816  .0310996  .0164061
T   15  3 .2295283E+08   1456018E+03  .6848E+07 -.8021E+07   .9999768  .0030877 -.0060766
T   16  3 .2301170E+08   1456018E+03  .1367E+08  .1016E+06   .9999426  .0107122  .0003797
T   17  3 .2301568E+08   1456018E+03 -.3845E+07 -.3652E+07   .9999928 -.0026277 -.0027314
T   18  3 .2301863E+08   1456018E+03  .1350E+08  .3062E+07   .9999446  .0100742  .0030402
