============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Dead space+Tr. ROW 0+Tr.( 230. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  3 ,2337181E+08   2306000E+03  ,1666E+07 -,7861E+06   ,9999961  ,0015990 -,0022887
T    2  3 ,2338782E+08   2306000E+03  ,1359E+06 -,6572E+06   ,9999996  ,0006808 -,0006081
T    3  3 ,2338523E+08   2306000E+03  ,9717E+06  ,2105E+06   ,9999997  ,0006229  ,0005287
T    4  3 ,2340494E+08   2306000E+03  ,3593E+07 -,1339E+07   ,9999839  ,0051950 -,0022702
T    5  3 ,2338932E+08   2306000E+03 -,2804E+05 -,1645E+06   ,9999996 -,0007516 -,0004476
T    6  3 ,2338559E+08   2306000E+03 -,8900E+05 -,2458E+07   ,9999994  ,0004730 -,0009773
T    7  3 ,2341281E+08   2306000E+03  ,1912E+07  ,2817E+07   ,9999985  ,0006928  ,0015557
T    8  3 ,2340674E+08   2306000E+03 -,2257E+07  ,8770E+06   ,9999951 -,0030904  ,0005092
T    9  3 ,2336549E+08   2306000E+03  ,7343E+06 -,2541E+07   ,9999998  ,0001333 -,0005959
T   10  3 ,2344236E+08   2306000E+03 -,4147E+06 -,6301E+06   ,9999997  ,0004726 -,0005693
T   11  3 ,2336713E+08   2306000E+03 -,1348E+08  ,1753E+08   ,9995716 -,0183471  ,0228057
T   12  3 ,2339749E+08   2306000E+03  ,2182E+07 -,9534E+06   ,9999972  ,0023066 -,0004834
T   13  3 ,2338261E+08   2306000E+03 -,3662E+06 -,1509E+07   ,9999990 -,0008168 -,0011772
T   14  3 ,2339220E+08   2306000E+03 -,2899E+06  ,8069E+06   ,9999855 -,0045406  ,0029026
T   15  3 ,2338802E+08   2306000E+03  ,7837E+06 -,2222E+06   ,9999991  ,0008908 -,0009549
