============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Dead space+Tr. ROW 0+Tr.( 270. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  3 .2327188E+08   2706000E+03  .2992E+07 -.7341E+06   .9999964  .0025466 -.0008628
T    2  3 .2329373E+08   2706000E+03 -.2264E+07 -.3294E+07   .9999974 -.0014628 -.0017209
T    3  3 .2329224E+08   2706000E+03 -.1201E+07  .3166E+07   .9999994  .0010394  .0001997
T    4  3 .2327656E+08   2706000E+03 -.2385E+07  .3077E+07   .9999988 -.0014881  .0004178
T    5  3 .2326754E+08   2706000E+03 -.1333E+07  .2188E+07   .9999996 -.0008148 -.0002201
T    6  3 .2330098E+08   2706000E+03  .2881E+06  .2679E+07   .9999980  .0006395  .0018865
T    7  3 .2328925E+08   2706000E+03  .4412E+07  .3959E+07   .9999902  .0021750  .0038444
T    8  3 .2328764E+08   2706000E+03  .1583E+07 -.2363E+07   .9999994  .0010684 -.0002626
T    9  3 .2324668E+08   2706000E+03 -.1516E+07  .2813E+07   .9999968 -.0004463  .0025098
T   10  3 .2330669E+08   2706000E+03 -.1061E+07 -.5296E+07   .9999876 -.0001181 -.0049691
T   11  3 .2324721E+08   2706000E+03 -.1420E+07  .1137E+07   .9999995 -.0009254  .0003140
T   12  3 .2330121E+08   2706000E+03  .7004E+07  .2249E+07   .9999808  .0060835  .0011972
T   13  3 .2329597E+08   2706000E+03 -.2111E+07 -.9211E+06   .9999979 -.0019555 -.0005394
T   14  3 .2328989E+08   2706000E+03  .2821E+07 -.7360E+07   .9999849  .0034455 -.0042800
T   15  3 .2329536E+08   2706000E+03 -.1694E+07 -.4341E+07   .9999818 -.0058829 -.0013744
T   16  3 .2331417E+08   2706000E+03 -.9959E+06 -.2182E+07   .9999995 -.0007514 -.0006736
T   17  3 .2328329E+08   2706000E+03  .4087E+06  .1627E+07   .9999994 -.0007952  .0007837
T   18  3 .2327455E+08   2706000E+03  .1445E+07 -.1140E+07   .9999998 -.0000615 -.0006466
T   19  3 .2329408E+08   2706000E+03  .2697E+06 -.1555E+07   .9999977  .0011861 -.0018048
T   20  3 .2327749E+08   2706000E+03 -.1298E+07  .1469E+07   .9999976 -.0008829  .0020000
T   21  3 .2328954E+08   2706000E+03  .8437E+06 -.2756E+07   .9999952  .0020824 -.0023064
T   22  3 .2329270E+08   2706000E+03  .8479E+06  .5370E+06   .9999992  .0012116  .0003876
T   23  3 .2326847E+08   2706000E+03  .1692E+07  .8655E+06   .9999993  .0009283  .0007272
T   24  3 .2325456E+08   2706000E+03 -.1199E+07 -.7659E+05   .9999981 -.0009683  .0016985
T   25  3 .2329388E+08   2706000E+03  .1096E+07  .1537E+07   .9999901  .0040858  .0017395
T   26  3 .2327345E+08   2706000E+03 -.4860E+06  .8302E+06   .9999988 -.0003597  .0014895
T   27  3 .2325814E+08   2706000E+03  .1165E+07 -.1424E+07   .9999976  .0020677 -.0006888
T   28  3 .2329226E+08   2706000E+03 -.1716E+07 -.1061E+07   .9999989 -.0011682 -.0009277
T   29  3 .2329335E+08   2706000E+03 -.2981E+07 -.9142E+05   .9999969 -.0024687 -.0004150
T   30  3 .2327217E+08   2706000E+03 -.6605E+07  .4393E+06   .9999236 -.0120310  .0028273
T   31  3 .2326893E+08   2706000E+03  .2322E+06 -.1059E+07   .9999993 -.0009513 -.0006325
T   32  3 .2330643E+08   2706000E+03 -.3278E+07  .1275E+06   .9999975 -.0021554  .0005244
T   33  3 .2330114E+08   2706000E+03 -.1549E+07  .1332E+07   .9999982 -.0017905  .0005478
T   34  3 .2326609E+08   2706000E+03  .1525E+07 -.4733E+07   .9999958  .0022695 -.0018025
T   35  3 .2331043E+08   2706000E+03 -.3531E+07  .5127E+07   .9999932 -.0007354  .0036160
T   36  3 .2326643E+08   2706000E+03 -.4582E+07 -.7648E+06   .9999982 -.0017963  .0006250
T   37  3 .2328331E+08   2706000E+03 -.1095E+07 -.2046E+06   .9999997 -.0008069  .0001220
T   38  3 .2325217E+08   2706000E+03  .1313E+07  .1526E+07   .9999997  .0007250  .0003842
T   39  3 .2326742E+08   2706000E+03 -.2642E+07  .2479E+07   .9999970 -.0011632  .0021432
T   40  3 .2330233E+08   2706000E+03  .2106E+07  .3327E+07   .9999977  .0017139  .0012700
T   41  3 .2327347E+08   2706000E+03 -.1699E+07 -.8294E+05   .9999995  .0002841 -.0009180
T   42  3 .2326068E+08   2706000E+03  .4530E+06 -.3560E+06   .9999988 -.0015260 -.0000911
T   43  3 .2327480E+08   2706000E+03 -.2000E+07 -.1615E+07   .9999853 -.0054175 -.0002490
