============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom0. B= Backscattered Ion0. T= Transmitted Ion.   =
=  Col.#2: Ion Number0. Col.#3: Z of atom leaving0. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target0. Y0.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Au absorber+Si3N4 window( 1.20 km) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   64  3 0.6368688E+04   5067687E+04  0.5726E+09  0.9893E+08   0.7430656  0.2804833 -0.6076040
T    1  3 0.2054416E+08   3366119E+03 -0.2427E+08 -0.3399E+07   0.9999865  0.0011635 -0.0050656
T    2  3 0.2056821E+08   3366119E+03  0.8226E+08  0.4439E+07   0.9999347  0.0111806  0.0023722
T    3  3 0.2054510E+08   3366119E+03  0.4402E+07 -0.1459E+08   0.9997603 -0.0129181 -0.0176774
T    4  3 0.2051563E+08   3366119E+03  0.5403E+06  0.1420E+08   0.9999711 -0.0073989  0.0017411
T    5  3 0.2054849E+08   3366119E+03 -0.4905E+08  0.5608E+08   0.9995343 -0.0191522  0.0237585
T    6  3 0.2040622E+08   3366119E+03 -0.3485E+07  0.3710E+08   0.9999015 -0.0014043  0.0139638
T    7  3 0.2043830E+08   3366119E+03  0.1146E+08  0.2346E+07   0.9999746  0.0049635 -0.0051132
T    8  3 0.2051656E+08   3366119E+03  0.1602E+07  0.5077E+07   0.9999233 -0.0087675  0.0087531
T    9  3 0.2053230E+08   3366119E+03 -0.3946E+08  0.3990E+08   0.9997128 -0.0127755  0.0202748
T   10  3 0.2053270E+08   3366119E+03 -0.8587E+08  0.6213E+08   0.9992819 -0.0313679  0.0212527
T   11  3 0.2048654E+08   3366119E+03 -0.1577E+08  0.6998E+07   0.9998865 -0.0034529  0.0146651
T   12  3 0.2062506E+08   3366119E+03 -0.3628E+06  0.4241E+08   0.9999662 -0.0029389  0.0076772
T   13  3 0.2051294E+08   3366119E+03  0.7817E+07  0.1665E+08   0.9997789 -0.0014641  0.0209753
T   14  3 0.2037455E+08   3366119E+03  0.1989E+08  0.5934E+08   0.9995394  0.0137852  0.0270364
T   15  3 0.2056825E+08   3366119E+03  0.2050E+08 -0.4272E+08   0.9998254  0.0074395 -0.0171395
T   16  3 0.2045801E+08   3366119E+03  0.3670E+08 -0.2375E+08   0.9998589  0.0133509 -0.0101901
T   17  3 0.2053816E+08   3366119E+03  0.1784E+08 -0.1035E+08   0.9999679 -0.0018010  0.0078026
T   18  3 0.2062431E+08   3366119E+03 -0.6766E+08  0.6584E+08   0.9996008 -0.0195768  0.0203712
T   19  3 0.2056596E+08   3366119E+03  0.5413E+08  0.2669E+08   0.9998092  0.0152615  0.0121887
T   20  3 0.2051235E+08   3366119E+03  0.2276E+08 -0.2635E+08   0.9999178  0.0106345 -0.0071561
T   21  3 0.2052074E+08   3366119E+03  0.1843E+08 -0.3168E+08   0.9999258  0.0024500 -0.0119307
T   22  3 0.2054235E+08   3366119E+03 -0.1447E+07 -0.1582E+08   0.9999915 -0.0028069 -0.0030326
T   23  3 0.2053025E+08   3366119E+03 -0.2318E+07 -0.3367E+08   0.9998773  0.0004500 -0.0156559
T   24  3 0.2054321E+08   3366119E+03 -0.1015E+08  0.1520E+08   0.9999191 -0.0102382  0.0075427
T   25  3 0.2048904E+08   3366119E+03  0.1080E+08 -0.3437E+08   0.9999852 -0.0053413 -0.0010152
T   26  3 0.2055726E+08   3366119E+03  0.3716E+08 -0.2597E+08   0.9998871  0.0127292 -0.0079840
T   27  3 0.2049500E+08   3366119E+03 -0.1787E+08 -0.2459E+08   0.9999420 -0.0074839 -0.0077493
T   28  3 0.2049461E+08   3366119E+03  0.2607E+08 -0.2326E+08   0.9999736  0.0011702  0.0071650
T   29  3 0.2048274E+08   3366119E+03  0.1031E+08  0.5831E+07   0.9997918  0.0128749 -0.0158275
T   30  3 0.2054080E+08   3366119E+03 -0.1656E+08  0.6384E+07   0.9999935  0.0002919  0.0036075
T   31  3 0.2055558E+08   3366119E+03  0.4670E+08  0.5170E+08   0.9998264  0.0079360  0.0168602
T   32  3 0.2053928E+08   3366119E+03 -0.9431E+07  0.2523E+08   0.9999374  0.0100372  0.0049516
T   33  3 0.2041480E+08   3366119E+03 -0.2948E+07 -0.1120E+08   0.9999793  0.0019815 -0.0061250
T   34  3 0.2053448E+08   3366119E+03 -0.1799E+09  0.1634E+09   0.9970807 -0.0577216  0.0499821
T   35  3 0.2050285E+08   3366119E+03  0.6486E+06  0.2284E+08   0.9998758  0.0098226  0.0123248
T   36  3 0.2052431E+08   3366119E+03  0.4626E+07  0.1319E+08   0.9998657  0.0124241  0.0106845
T   37  3 0.2052024E+08   3366119E+03 -0.4695E+08 -0.2454E+08   0.9997685 -0.0197737 -0.0084841
T   38  3 0.2048420E+08   3366119E+03 -0.1550E+08 -0.4311E+08   0.9999228  0.0010489 -0.0123808
T   39  3 0.2053634E+08   3366119E+03 -0.1117E+08 -0.1695E+06   0.9999980 -0.0019830  0.0003140
T   40  3 0.2045771E+08   3366119E+03 -0.8733E+07 -0.9481E+07   0.9999516 -0.0055192 -0.0081418
T   41  3 0.2059200E+08   3366119E+03 -0.4711E+07  0.2996E+08   0.9999145  0.0008304  0.0130491
T   42  3 0.2045921E+08   3366119E+03 -0.3476E+08 -0.6329E+08   0.9998640 -0.0123715 -0.0109061
T   43  3 0.2055672E+08   3366119E+03 -0.2159E+08 -0.5227E+07   0.9999759 -0.0040752  0.0056200
T   44  3 0.2071160E+08   3366119E+03  0.3712E+08 -0.1687E+08   0.9998910  0.0146839  0.0015614
T   45  3 0.2061308E+08   3366119E+03 -0.2408E+08  0.6512E+07   0.9999731 -0.0027772 -0.0067834
T   46  3 0.2047494E+08   3366119E+03 -0.4341E+08  0.3615E+08   0.9997434 -0.0169737  0.0150021
T   47  3 0.2054574E+08   3366119E+03 -0.9612E+07  0.1652E+08   0.9999190 -0.0074283  0.0103387
T   48  3 0.2058706E+08   3366119E+03  0.3421E+08  0.4729E+08   0.9998033  0.0097983  0.0172456
T   49  3 0.2041890E+08   3366119E+03  0.8318E+05 -0.2507E+08   0.9999823 -0.0046009 -0.0037614
T   50  3 0.2048507E+08   3366119E+03  0.3047E+08  0.8359E+07   0.9999715  0.0073484 -0.0017214
T   51  3 0.2045056E+08   3366119E+03 -0.1876E+08  0.9104E+07   0.9996200  0.0164442  0.0221239
T   52  3 0.2052113E+08   3366119E+03 -0.4102E+07  0.1873E+07   0.9999932  0.0023356 -0.0028509
T   53  3 0.2055094E+08   3366119E+03 -0.5669E+08 -0.3386E+08   0.9998871 -0.0059386 -0.0138035
T   54  3 0.2054604E+08   3366119E+03 -0.6331E+08  0.2720E+08   0.9997918 -0.0194025  0.0063130
T   55  3 0.2045402E+08   3366119E+03 -0.9689E+07  0.1095E+09   0.9991751 -0.0101655  0.0393164
T   56  3 0.2054914E+08   3366119E+03 -0.6279E+08 -0.2368E+08   0.9997145 -0.0234857 -0.0043904
T   57  3 0.2050289E+08   3366119E+03  0.2410E+08 -0.1557E+08   0.9998312  0.0118475 -0.0140416
T   58  3 0.2040149E+08   3366119E+03  0.1185E+08 -0.2079E+08   0.9999463 -0.0010473 -0.0103076
T   59  3 0.2063204E+08   3366119E+03  0.5875E+08 -0.2236E+08   0.9998754  0.0152362 -0.0041175
T   60  3 0.2039537E+08   3366119E+03  0.1606E+08  0.1323E+09   0.9996198  0.0148840  0.0232110
T   61  3 0.2042988E+08   3366119E+03  0.5537E+07 -0.8216E+07   0.9999269  0.0117123  0.0030047
T   62  3 0.2047082E+08   3366119E+03  0.5087E+07 -0.6818E+07   0.9999892  0.0043138 -0.0017066
T   63  3 0.2054159E+08   3366119E+03  0.4157E+08 -0.2489E+07   0.9997549  0.0201648 -0.0091359
T   64  3 0.2057282E+08   3366119E+03  0.1841E+08 -0.2000E+08   0.9999852  0.0023023 -0.0049391
T   65  3 0.2059465E+08   3366119E+03  0.1790E+08 -0.1723E+08   0.9998593  0.0148374 -0.0078264
T   66  3 0.2050933E+08   3366119E+03  0.9289E+07  0.9188E+07   0.9999039  0.0136269  0.0025408
T   67  3 0.2049155E+08   3366119E+03 -0.2393E+08 -0.1399E+08   0.9998846 -0.0069491 -0.0135119
T   68  3 0.2044803E+08   3366119E+03  0.6328E+07 -0.3033E+08   0.9999169  0.0015608 -0.0128004
T   69  3 0.2051056E+08   3366119E+03 -0.5224E+07  0.2350E+08   0.9999970 -0.0023444  0.0007609
T   70  3 0.2055439E+08   3366119E+03 -0.2688E+08 -0.3923E+08   0.9998323 -0.0089643 -0.0159699
T   71  3 0.2048520E+08   3366119E+03 -0.3677E+08  0.1198E+08   0.9998615  0.0049750 -0.0158808
T   72  3 0.2036254E+08   3366119E+03  0.2388E+08  0.2723E+08   0.9999889  0.0042899 -0.0019268
T   73  3 0.2052210E+08   3366119E+03 -0.3688E+08  0.4233E+08   0.9998281 -0.0129572  0.0132648
T   74  3 0.2049171E+08   3366119E+03 -0.4803E+08 -0.4351E+07   0.9998823 -0.0149169 -0.0035964
T   75  3 0.2049587E+08   3366119E+03  0.1270E+08 -0.1761E+08   0.9999161 -0.0002970 -0.0129492
T   76  3 0.2054711E+08   3366119E+03  0.2629E+08  0.6916E+07   0.9999714  0.0008914 -0.0075104
