************ Run 171************
  Evt: 1375   theta_fit: 174.923   theta_deg: -4.80755
  Evt: 1772   theta_fit: 175.043   theta_deg: -4.81973
  Evt: 4463   theta_fit: 51.5428   theta_deg: 50.7314
  Evt: 5788   theta_fit: 54.892   theta_deg: 53.4979
  Evt: 7834   theta_fit: 55.6391   theta_deg: 54.8596
  Evt: 7947   theta_fit: 153.868   theta_deg: -26.1304
  Evt: 8171   theta_fit: 4.16987   theta_deg: 3.34766
  Evt: 9743   theta_fit: 160.522   theta_deg: -19.4618
  Evt: 9774   theta_fit: 161.871   theta_deg: -17.9086
  Evt: 11035   theta_fit: 57.4279   theta_deg: 55.8563
  Evt: 11284   theta_fit: 53.2627   theta_deg: 52.7096
  Evt: 11544   theta_fit: 57.1714   theta_deg: 56.6166
  Evt: 11584   theta_fit: 10.0396   theta_deg: 9.33537
  Evt: 11632   theta_fit: 49.0606   theta_deg: 48.2025
  Evt: 11661   theta_fit: 148.034   theta_deg: -31.955
  Evt: 12486   theta_fit: 52.4566   theta_deg: 51.6183
  Evt: 12894   theta_fit: 169.593   theta_deg: -10.3524
  Evt: 12950   theta_fit: 156.301   theta_deg: -23.6681
  Evt: 13593   theta_fit: 53.3725   theta_deg: 52.6083
  Evt: 14824   theta_fit: 53.9386   theta_deg: 53.4006
  Evt: 15079   theta_fit: 162.724   theta_deg: -17.1538
  Evt: 15597   theta_fit: 156.749   theta_deg: -23.0357
  Evt: 16147   theta_fit: 144.722   theta_deg: -35.2389
  Evt: 16641   theta_fit: 175.119   theta_deg: -4.01297
  Evt: 16779   theta_fit: 54.9477   theta_deg: 54.0291
  Evt: 18720   theta_fit: 161.658   theta_deg: -18.2851
  Evt: 18728   theta_fit: 52.3313   theta_deg: 51.6638
  Evt: 19448   theta_fit: 6.73218   theta_deg: 5.39467
  Evt: 20370   theta_fit: 169.193   theta_deg: -10.5404
  Evt: 21913   theta_fit: 160.262   theta_deg: -19.7298
  Evt: 23030   theta_fit: 50.7781   theta_deg: 50.0117
  Evt: 23217   theta_fit: 166.729   theta_deg: -13.2706
  Evt: 23508   theta_fit: 54.4546   theta_deg: 53.8682
  Evt: 24098   theta_fit: 49.7746   theta_deg: 48.9956
  Evt: 24283   theta_fit: 156.628   theta_deg: -23.1146
  Evt: 24579   theta_fit: 154.827   theta_deg: -25.0537
  Evt: 25205   theta_fit: 163.408   theta_deg: -16.5283
  Evt: 27486   theta_fit: 8.99977   theta_deg: 8.16638
  Evt: 27812   theta_fit: 3.56615   theta_deg: 2.27008
  Evt: 30595   theta_fit: 177.72   theta_deg: -1.14043
  Evt: 30893   theta_fit: 45.8192   theta_deg: 45.1545
  Evt: 33497   theta_fit: 177.676   theta_deg: -1.64346
  Evt: 33915   theta_fit: 170.38   theta_deg: -9.48479
  Evt: 33944   theta_fit: 169.765   theta_deg: -10.1568
  Evt: 34122   theta_fit: 167.765   theta_deg: -12.1372
  Evt: 34340   theta_fit: 134.066   theta_deg: -45.7114
  Evt: 34601   theta_fit: 48.6805   theta_deg: 47.7458
  Evt: 35167   theta_fit: 6.76047   theta_deg: 0.47707
  Evt: 37531   theta_fit: 90.5401   theta_deg: -0.000766668
  Evt: 37572   theta_fit: 51.8463   theta_deg: 51.1358
  Evt: 37973   theta_fit: 145.504   theta_deg: -34.4451
  Evt: 38003   theta_fit: 163.245   theta_deg: -16.752
  Evt: 38005   theta_fit: 157.622   theta_deg: -22.3452
  Evt: 38009   theta_fit: 174.021   theta_deg: -5.29681
  Evt: 38010   theta_fit: 158.379   theta_deg: -21.5606
  Evt: 38428   theta_fit: 54.8421   theta_deg: 54.3023
  Evt: 38731   theta_fit: 50.1256   theta_deg: 49.5479
  Evt: 39296   theta_fit: 166.729   theta_deg: -13.2706
  Evt: 39771   theta_fit: 134.328   theta_deg: -45.6597
  Evt: 39925   theta_fit: 162.856   theta_deg: -17.0457
