************ Run 298_4He ************
  Evt: 407   theta_fit: 2.43511   theta_deg: 1.85797
  Evt: 881   theta_fit: 3.0672   theta_deg: 0.847176
  Evt: 983   theta_fit: 61.1241   theta_deg: 59.257
  Evt: 1053   theta_fit: 168.691   theta_deg: -6.65346
  Evt: 1080   theta_fit: 176.635   theta_deg: -0.101886
  Evt: 1168   theta_fit: 177.356   theta_deg: -1.96662
  Evt: 1462   theta_fit: 171.118   theta_deg: -4.66266
  Evt: 2668   theta_fit: 177.73   theta_deg: -1.06764
  Evt: 2772   theta_fit: 173.861   theta_deg: -4.10373
  Evt: 3126   theta_fit: 3.3032   theta_deg: 1.96562
  Evt: 3271   theta_fit: 176.433   theta_deg: -1.44432
  Evt: 5013   theta_fit: 173.129   theta_deg: -3.82193
  Evt: 5577   theta_fit: 174.864   theta_deg: -2.2578
  Evt: 5934   theta_fit: 165.833   theta_deg: -7.22716
  Evt: 5953   theta_fit: 4.23841   theta_deg: 3.58401
  Evt: 6692   theta_fit: 167.127   theta_deg: -7.28091
  Evt: 6958   theta_fit: 169.156   theta_deg: -6.2681
  Evt: 7324   theta_fit: 177.717   theta_deg: -0.866051
  Evt: 7701   theta_fit: 173.463   theta_deg: -4.19135
  Evt: 8216   theta_fit: 169.749   theta_deg: -5.6998
  Evt: 8415   theta_fit: 169.76   theta_deg: -6.24562
  Evt: 9988   theta_fit: 173.648   theta_deg: -4.06331
  Evt: 10309   theta_fit: 167.134   theta_deg: -7.07653
  Evt: 10389   theta_fit: 166.384   theta_deg: -8.19523
  Evt: 10436   theta_fit: 2.0462   theta_deg: 1.42375
  Evt: 10718   theta_fit: 3.06879   theta_deg: 1.64201
  Evt: 11350   theta_fit: 175.862   theta_deg: -2.284
  Evt: 11598   theta_fit: 177.844   theta_deg: -1.39554
  Evt: 11787   theta_fit: 32.574   theta_deg: 31.8955
  Evt: 12006   theta_fit: 3.55748   theta_deg: 3.05468
  Evt: 12816   theta_fit: 177.902   theta_deg: -1.75259
  Evt: 13226   theta_fit: 174.418   theta_deg: -2.73131
  Evt: 13423   theta_fit: 177.467   theta_deg: -0.450328
  Evt: 13796   theta_fit: 166.535   theta_deg: -7.37516
  Evt: 14050   theta_fit: 174.015   theta_deg: -3.68382
  Evt: 14269   theta_fit: 177.466   theta_deg: -0.506301
  Evt: 15036   theta_fit: 3.66418   theta_deg: 2.2513
  Evt: 15203   theta_fit: 3.91444   theta_deg: 0.653464
  Evt: 15476   theta_fit: 164.171   theta_deg: -5.66127
  Evt: 15941   theta_fit: 178.305   theta_deg: -1.26229
  Evt: 16282   theta_fit: 167.125   theta_deg: -6.48302
  Evt: 17394   theta_fit: 173.733   theta_deg: -3.5133
  Evt: 17448   theta_fit: 175.805   theta_deg: -2.85371
  Evt: 17928   theta_fit: 4.66015   theta_deg: 4.06238
  Evt: 18440   theta_fit: 166.917   theta_deg: -5.52168
  Evt: 18560   theta_fit: 166.934   theta_deg: -6.4902
  Evt: 19025   theta_fit: 177.878   theta_deg: -0.762783
  Evt: 19114   theta_fit: 170.005   theta_deg: -2.66726
  Evt: 19521   theta_fit: 168.918   theta_deg: -6.13857
  Evt: 20103   theta_fit: 169.003   theta_deg: -5.98907
  Evt: 20478   theta_fit: 171.6   theta_deg: -4.27755
  Evt: 20698   theta_fit: 166.122   theta_deg: -6.72413
  Evt: 20844   theta_fit: 166.807   theta_deg: -7.15501
  Evt: 21295   theta_fit: 4.14945   theta_deg: 2.86565
  Evt: 23012   theta_fit: 3.16078   theta_deg: 0.518659
  Evt: 23935   theta_fit: 166.017   theta_deg: -8.70328
  Evt: 24378   theta_fit: 16.8445   theta_deg: 0.0914051
  Evt: 24396   theta_fit: 168.825   theta_deg: -5.55876
  Evt: 24718   theta_fit: 173.814   theta_deg: -3.41708
  Evt: 25832   theta_fit: 5.86615   theta_deg: 1.99963
  Evt: 26840   theta_fit: 167.655   theta_deg: -7.0764
  Evt: 27440   theta_fit: 2.29047   theta_deg: 1.34629
  Evt: 27708   theta_fit: 168.016   theta_deg: -6.47899
  Evt: 27729   theta_fit: 173.271   theta_deg: -3.91222
  Evt: 27974   theta_fit: 176.267   theta_deg: -1.49356
  Evt: 28177   theta_fit: 171.092   theta_deg: -4.7734
  Evt: 28343   theta_fit: 2.54644   theta_deg: 1.34073
  Evt: 28649   theta_fit: 166.653   theta_deg: -7.92041
  Evt: 28921   theta_fit: 15.7387   theta_deg: 15.0198
  Evt: 28923   theta_fit: 166.76   theta_deg: -7.01214
  Evt: 29324   theta_fit: 38.3289   theta_deg: 37.642
  Evt: 29585   theta_fit: 164.914   theta_deg: -0.0535206
  Evt: 29668   theta_fit: 174.441   theta_deg: -2.90716
  Evt: 29878   theta_fit: 167.834   theta_deg: -6.44358
  Evt: 29908   theta_fit: 3.32386   theta_deg: 2.35139
  Evt: 31175   theta_fit: 168.485   theta_deg: -5.3924
