************ Run 65************
  Evt: 4258   theta_fit: 53.8154   theta_deg: 44.8745
  Evt: 5709   theta_fit: 177.003   theta_deg: -2.05177
  Evt: 11160   theta_fit: 51.7566   theta_deg: 46.1006
  Evt: 15561   theta_fit: 167.936   theta_deg: -11.9458
  Evt: 16168   theta_fit: 53.403   theta_deg: 52.8344
  Evt: 17176   theta_fit: 159.013   theta_deg: -20.892
  Evt: 18437   theta_fit: 55.5849   theta_deg: 55.0149
  Evt: 19167   theta_fit: 55.4859   theta_deg: 54.9107
  Evt: 19428   theta_fit: 56.0586   theta_deg: 40.4331
  Evt: 21438   theta_fit: 50.2466   theta_deg: 49.5687
  Evt: 21776   theta_fit: 49.826   theta_deg: 49.316
  Evt: 21869   theta_fit: 51.47   theta_deg: 50.9623
  Evt: 22374   theta_fit: 54.6115   theta_deg: 54.0463
  Evt: 26577   theta_fit: 55.4328   theta_deg: 54.9205
  Evt: 27117   theta_fit: 61.3798   theta_deg: 60.7694
  Evt: 28635   theta_fit: 175.339   theta_deg: -4.59708
  Evt: 29278   theta_fit: 51.3141   theta_deg: 50.7866
  Evt: 30406   theta_fit: 50.1579   theta_deg: 49.5175
  Evt: 30693   theta_fit: 52.8109   theta_deg: 52.2768
  Evt: 33204   theta_fit: 54.5536   theta_deg: 54.0501
  Evt: 36161   theta_fit: 54.6593   theta_deg: 53.6937
  Evt: 37377   theta_fit: 44.8362   theta_deg: 44.2662
  Evt: 38107   theta_fit: 49.8008   theta_deg: 49.2571
  Evt: 38208   theta_fit: 51.188   theta_deg: 46.6456
  Evt: 40133   theta_fit: 54.8285   theta_deg: 54.0855
  Evt: 40866   theta_fit: 65.3529   theta_deg: 54.5943
  Evt: 42022   theta_fit: 50.7114   theta_deg: 45.862
  Evt: 43566   theta_fit: 52.2294   theta_deg: 51.6085
  Evt: 44650   theta_fit: 54.4778   theta_deg: 53.8665
  Evt: 45170   theta_fit: 50.5855   theta_deg: 50.045
  Evt: 47612   theta_fit: 175.588   theta_deg: -3.52344
  Evt: 50035   theta_fit: 55.9254   theta_deg: 55.2693
  Evt: 52179   theta_fit: 51.6415   theta_deg: 51.1036
  Evt: 54636   theta_fit: 50.6527   theta_deg: 50.0864
  Evt: 57652   theta_fit: 53.1485   theta_deg: 52.6265
  Evt: 63233   theta_fit: 53.9312   theta_deg: 53.3534
  Evt: 64115   theta_fit: 52.9713   theta_deg: 52.0756
*****************************************************
