************ Run 202_12C - pearson coefficient ***********
Evt. 0   P.coefficient (R): 0.993566
Evt. 1   P.coefficient (R): 0.993868
Evt. 2   P.coefficient (R): 0.993624
Evt. 3   P.coefficient (R): 0.993384
Evt. 4   P.coefficient (R): 0.993318
Evt. 5   P.coefficient (R): 0.993938
Evt. 6   P.coefficient (R): 0.994154
Evt. 7   P.coefficient (R): 0.993665
Evt. 8   P.coefficient (R): 0.99397
Evt. 9   P.coefficient (R): 0.993288
Evt. 10   P.coefficient (R): 0.993832
Evt. 11   P.coefficient (R): 0.993973
Evt. 12   P.coefficient (R): 0.993747
Evt. 13   P.coefficient (R): 0.993728
Evt. 14   P.coefficient (R): 0.993465
Evt. 15   P.coefficient (R): 0.993901
Evt. 16   P.coefficient (R): 0.993569
Evt. 17   P.coefficient (R): 0.990599
Evt. 18   P.coefficient (R): 0.993509
Evt. 19   P.coefficient (R): 0.993686
Evt. 20   P.coefficient (R): 0.993711
Evt. 21   P.coefficient (R): 0.99395
Evt. 22   P.coefficient (R): 0.994187
Evt. 23   P.coefficient (R): 0.994272
Evt. 24   P.coefficient (R): 0.993413
Evt. 25   P.coefficient (R): 0.993297
Evt. 26   P.coefficient (R): 0.993764
Evt. 27   P.coefficient (R): 0.993492
Evt. 28   P.coefficient (R): 0.993785
Evt. 29   P.coefficient (R): 0.993431
Evt. 30   P.coefficient (R): 0.993642
Evt. 31   P.coefficient (R): 0.993409
Evt. 32   P.coefficient (R): 0.993603
Evt. 33   P.coefficient (R): 0.993808
Evt. 34   P.coefficient (R): 0.993766
Evt. 35   P.coefficient (R): 0.993569
Evt. 36   P.coefficient (R): 0.9936
Evt. 37   P.coefficient (R): 0.994084
Evt. 38   P.coefficient (R): 0.993862
Evt. 39   P.coefficient (R): 0.99414
Evt. 40   P.coefficient (R): 0.993556
Evt. 41   P.coefficient (R): 0.993533
Evt. 42   P.coefficient (R): 0.99347
Evt. 43   P.coefficient (R): 0.993494
Evt. 44   P.coefficient (R): 0.993451
Evt. 45   P.coefficient (R): 0.993875
Evt. 46   P.coefficient (R): 0.99368
Evt. 47   P.coefficient (R): 0.993595
Evt. 48   P.coefficient (R): 0.993317
Evt. 49   P.coefficient (R): 0.993414
Evt. 50   P.coefficient (R): 0.993525
Evt. 51   P.coefficient (R): 0.993838
Evt. 52   P.coefficient (R): 0.993968
Evt. 53   P.coefficient (R): 0.994199
Evt. 54   P.coefficient (R): 0.993646
Evt. 55   P.coefficient (R): 0.993302
Evt. 56   P.coefficient (R): 0.994303
Evt. 57   P.coefficient (R): 0.993826
Evt. 58   P.coefficient (R): 0.993473
Evt. 59   P.coefficient (R): 0.993508
Evt. 60   P.coefficient (R): 0.993831
Evt. 61   P.coefficient (R): 0.993858
Evt. 62   P.coefficient (R): 0.993199
Evt. 63   P.coefficient (R): 0.993369
Evt. 64   P.coefficient (R): 0.993592
Evt. 65   P.coefficient (R): 0.994173
Evt. 66   P.coefficient (R): 0.993663
Evt. 67   P.coefficient (R): 0.994029
Evt. 68   P.coefficient (R): 0.993465
Evt. 69   P.coefficient (R): 0.993624
Evt. 70   P.coefficient (R): 0.993917
Evt. 71   P.coefficient (R): 0.993884
Evt. 72   P.coefficient (R): 0.993967
Evt. 73   P.coefficient (R): 0.993763
Evt. 74   P.coefficient (R): 0.994134
Evt. 75   P.coefficient (R): 0.993758
Evt. 76   P.coefficient (R): 0.993942
Evt. 77   P.coefficient (R): 0.994025
Evt. 78   P.coefficient (R): 0.994095
Evt. 79   P.coefficient (R): 0.994524
Evt. 80   P.coefficient (R): 0.993982
Evt. 81   P.coefficient (R): 0.993298
Evt. 82   P.coefficient (R): 0.993403
Evt. 83   P.coefficient (R): 0.993643
Evt. 84   P.coefficient (R): 0.993735
Evt. 85   P.coefficient (R): 0.9934
Evt. 86   P.coefficient (R): 0.993873
Evt. 87   P.coefficient (R): 0.993919
Evt. 88   P.coefficient (R): 0.993858
Evt. 89   P.coefficient (R): 0.994031
Evt. 90   P.coefficient (R): 0.994021
Evt. 91   P.coefficient (R): 0.993709
Evt. 92   P.coefficient (R): 0.993688
Evt. 93   P.coefficient (R): 0.993557
Evt. 94   P.coefficient (R): 0.994178
Evt. 95   P.coefficient (R): 0.993882
Evt. 96   P.coefficient (R): 0.993853
Evt. 97   P.coefficient (R): 0.993711
Evt. 98   P.coefficient (R): 0.99368
Evt. 99   P.coefficient (R): 0.993753
Evt. 100   P.coefficient (R): 0.993947
Evt. 101   P.coefficient (R): 0.993945
Evt. 102   P.coefficient (R): 0.993326
Evt. 103   P.coefficient (R): 0.993158
Evt. 104   P.coefficient (R): 0.993937
Evt. 105   P.coefficient (R): 0.993528
Evt. 106   P.coefficient (R): 0.993549
Evt. 107   P.coefficient (R): 0.993777
Evt. 108   P.coefficient (R): 0.99359
Evt. 109   P.coefficient (R): 0.993943
Evt. 110   P.coefficient (R): 0.993799
Evt. 111   P.coefficient (R): 0.99399
Evt. 112   P.coefficient (R): 0.990275
Evt. 113   P.coefficient (R): 0.993997
Evt. 114   P.coefficient (R): 0.993862
Evt. 115   P.coefficient (R): 0.993462
Evt. 116   P.coefficient (R): 0.99397
Evt. 117   P.coefficient (R): 0.993839
Evt. 118   P.coefficient (R): 0.993611
Evt. 119   P.coefficient (R): 0.988599
Evt. 120   P.coefficient (R): 0.993852
Evt. 121   P.coefficient (R): 0.993827
Evt. 122   P.coefficient (R): 0.985175
Evt. 123   P.coefficient (R): 0.99384
Evt. 124   P.coefficient (R): 0.993892
Evt. 125   P.coefficient (R): 0.993885
Evt. 126   P.coefficient (R): 0.993468
Evt. 127   P.coefficient (R): 0.993655
Evt. 128   P.coefficient (R): 0.994437
Evt. 129   P.coefficient (R): 0.993396
Evt. 130   P.coefficient (R): 0.994043
Evt. 131   P.coefficient (R): 0.993524
Evt. 132   P.coefficient (R): 0.99362
Evt. 133   P.coefficient (R): 0.993544
Evt. 134   P.coefficient (R): 0.993788
Evt. 135   P.coefficient (R): 0.994001
Evt. 136   P.coefficient (R): 0.994153
Evt. 137   P.coefficient (R): 0.993569
Evt. 138   P.coefficient (R): 0.994094
Evt. 139   P.coefficient (R): 0.993939
Evt. 140   P.coefficient (R): 0.993651
Evt. 141   P.coefficient (R): 0.993393
Evt. 142   P.coefficient (R): 0.993357
Evt. 143   P.coefficient (R): 0.993926
Evt. 144   P.coefficient (R): 0.993559
Evt. 145   P.coefficient (R): 0.993556
Evt. 146   P.coefficient (R): 0.993598
Evt. 147   P.coefficient (R): 0.994564
Evt. 148   P.coefficient (R): 0.993574
Evt. 149   P.coefficient (R): 0.994143
Evt. 150   P.coefficient (R): 0.993909
Evt. 151   P.coefficient (R): 0.994091
Evt. 152   P.coefficient (R): 0.99445
Evt. 153   P.coefficient (R): 0.993483
Evt. 154   P.coefficient (R): 0.994
Evt. 155   P.coefficient (R): 0.993878
Evt. 156   P.coefficient (R): 0.993688
Evt. 157   P.coefficient (R): 0.994052
Evt. 158   P.coefficient (R): 0.993712
Evt. 159   P.coefficient (R): 0.99359
Evt. 160   P.coefficient (R): 0.993118
Evt. 161   P.coefficient (R): 0.993401
Evt. 162   P.coefficient (R): 0.993916
Evt. 163   P.coefficient (R): 0.994002
Evt. 164   P.coefficient (R): 0.993761
Evt. 165   P.coefficient (R): 0.994085
Evt. 166   P.coefficient (R): 0.994127
Evt. 167   P.coefficient (R): 0.993727
Evt. 168   P.coefficient (R): 0.993624
Evt. 169   P.coefficient (R): 0.993917
Evt. 170   P.coefficient (R): 0.99365
