************ Run 215_4He - pearson coefficient ***********
Evt. 158   P.coefficient (R): 0.991529
Evt. 189   P.coefficient (R): 0.990469
Evt. 234   P.coefficient (R): 0.991947
Evt. 325   P.coefficient (R): 0.907873
Evt. 434   P.coefficient (R): 0.990482
Evt. 472   P.coefficient (R): 0.990843
Evt. 747   P.coefficient (R): 0.992992
Evt. 759   P.coefficient (R): 0.991101
Evt. 772   P.coefficient (R): 0.407676
Evt. 805   P.coefficient (R): 0.989891
Evt. 863   P.coefficient (R): 0.992467
Evt. 952   P.coefficient (R): 0.99314
Evt. 1337   P.coefficient (R): 0.98879
Evt. 1342   P.coefficient (R): -0.220978
Evt. 1391   P.coefficient (R): 0.947333
Evt. 1538   P.coefficient (R): 0.995199
Evt. 1566   P.coefficient (R): 0.99348
Evt. 1804   P.coefficient (R): 0.991658
Evt. 1810   P.coefficient (R): 0.594653
Evt. 1868   P.coefficient (R): 0.990962
Evt. 1939   P.coefficient (R): 0.990825
Evt. 1949   P.coefficient (R): 0.990968
Evt. 1955   P.coefficient (R): 0.99604
Evt. 1962   P.coefficient (R): 0.945574
Evt. 2181   P.coefficient (R): 0.931646
Evt. 2241   P.coefficient (R): 0.992883
Evt. 2325   P.coefficient (R): 0.992951
Evt. 2343   P.coefficient (R): 0.970129
Evt. 2501   P.coefficient (R): 0.992283
Evt. 2667   P.coefficient (R): 0.994735
Evt. 2741   P.coefficient (R): 0.953833
Evt. 2848   P.coefficient (R): 0.992019
Evt. 3018   P.coefficient (R): 0.990668
Evt. 3317   P.coefficient (R): 0.995105
Evt. 3336   P.coefficient (R): 0.993236
Evt. 3532   P.coefficient (R): 0.990776
Evt. 3731   P.coefficient (R): 0.983115
Evt. 3769   P.coefficient (R): 0.988702
Evt. 3855   P.coefficient (R): 0.993705
Evt. 4054   P.coefficient (R): 0.995164
Evt. 4096   P.coefficient (R): 0.995748
Evt. 4175   P.coefficient (R): 0.988103
Evt. 4332   P.coefficient (R): 0.827012
Evt. 4499   P.coefficient (R): 0.987693
Evt. 4558   P.coefficient (R): 0.985793
Evt. 4671   P.coefficient (R): 0.992669
Evt. 4715   P.coefficient (R): 0.826852
Evt. 4760   P.coefficient (R): 0.986978
Evt. 4874   P.coefficient (R): 0.993832
Evt. 5085   P.coefficient (R): 0.995514
Evt. 5140   P.coefficient (R): 0.989805
Evt. 5168   P.coefficient (R): 0.993608
Evt. 5232   P.coefficient (R): 0.992061
Evt. 5241   P.coefficient (R): 0.991871
Evt. 5494   P.coefficient (R): 0.995211
Evt. 5515   P.coefficient (R): 0.993489
Evt. 5543   P.coefficient (R): 0.9957
Evt. 5574   P.coefficient (R): 0.995104
Evt. 5589   P.coefficient (R): 0.992973
Evt. 5619   P.coefficient (R): 0.990137
Evt. 5699   P.coefficient (R): 0.990598
Evt. 5716   P.coefficient (R): 0.988821
Evt. 5839   P.coefficient (R): 0.975915
Evt. 5894   P.coefficient (R): 0.989353
Evt. 6050   P.coefficient (R): 0.533656
Evt. 6068   P.coefficient (R): 0.993303
Evt. 6235   P.coefficient (R): 0.980711
Evt. 6280   P.coefficient (R): 0.983512
Evt. 6382   P.coefficient (R): 0.991733
Evt. 6560   P.coefficient (R): 0.987579
Evt. 6779   P.coefficient (R): 0.981254
Evt. 6934   P.coefficient (R): 0.994603
Evt. 7163   P.coefficient (R): 0.993263
Evt. 7275   P.coefficient (R): 0.990069
Evt. 7396   P.coefficient (R): 0.995119
Evt. 7497   P.coefficient (R): 0.995025
Evt. 7726   P.coefficient (R): 0.992499
Evt. 7805   P.coefficient (R): 0.992371
Evt. 7923   P.coefficient (R): 0.984624
Evt. 7927   P.coefficient (R): 0.990757
Evt. 8066   P.coefficient (R): 0.995686
Evt. 8232   P.coefficient (R): 0.990289
Evt. 8649   P.coefficient (R): 0.973029
Evt. 8727   P.coefficient (R): 0.993435
Evt. 8771   P.coefficient (R): 0.986097
Evt. 8903   P.coefficient (R): 0.994659
Evt. 8973   P.coefficient (R): 0.975127
Evt. 9104   P.coefficient (R): 0.993341
Evt. 9181   P.coefficient (R): 0.618738
Evt. 9259   P.coefficient (R): 0.995682
Evt. 9300   P.coefficient (R): 0.994628
Evt. 9316   P.coefficient (R): 0.996246
Evt. 9374   P.coefficient (R): 0.990253
Evt. 9492   P.coefficient (R): 0.994235
Evt. 9561   P.coefficient (R): 0.989815
Evt. 9610   P.coefficient (R): 0.900641
