************ Run 298_7Li - pearson coefficient ***********
Evt. 0   P.coefficient (R): 0.978842
Evt. 1   P.coefficient (R): 0.989881
Evt. 2   P.coefficient (R): 0.991852
Evt. 3   P.coefficient (R): 0.992982
Evt. 4   P.coefficient (R): 0.992802
Evt. 5   P.coefficient (R): 0.992567
Evt. 6   P.coefficient (R): 0.988306
Evt. 7   P.coefficient (R): 0.992359
Evt. 8   P.coefficient (R): 0.991989
Evt. 9   P.coefficient (R): 0.992468
Evt. 10   P.coefficient (R): 0.990089
Evt. 11   P.coefficient (R): 0.992257
Evt. 12   P.coefficient (R): 0.991587
Evt. 13   P.coefficient (R): 0.992141
Evt. 14   P.coefficient (R): 0.992773
Evt. 15   P.coefficient (R): 0.991424
Evt. 16   P.coefficient (R): 0.990551
Evt. 17   P.coefficient (R): 0.99111
Evt. 18   P.coefficient (R): 0.992815
Evt. 19   P.coefficient (R): 0.992808
Evt. 20   P.coefficient (R): 0.989887
Evt. 21   P.coefficient (R): 0.988191
Evt. 22   P.coefficient (R): 0.992591
Evt. 23   P.coefficient (R): 0.98919
Evt. 24   P.coefficient (R): 0.993175
Evt. 25   P.coefficient (R): 0.992286
Evt. 26   P.coefficient (R): 0.991983
Evt. 27   P.coefficient (R): 0.99277
Evt. 28   P.coefficient (R): 0.993068
Evt. 29   P.coefficient (R): 0.993398
Evt. 30   P.coefficient (R): 0.992938
Evt. 31   P.coefficient (R): 0.991687
Evt. 32   P.coefficient (R): 0.993276
Evt. 33   P.coefficient (R): 0.991961
Evt. 34   P.coefficient (R): 0.99322
Evt. 35   P.coefficient (R): 0.989572
Evt. 36   P.coefficient (R): 0.992209
Evt. 37   P.coefficient (R): 0.991881
Evt. 38   P.coefficient (R): 0.992814
Evt. 39   P.coefficient (R): 0.990174
Evt. 40   P.coefficient (R): 0.990143
Evt. 41   P.coefficient (R): 0.99339
Evt. 42   P.coefficient (R): 0.991219
Evt. 43   P.coefficient (R): 0.992624
Evt. 44   P.coefficient (R): 0.992839
Evt. 45   P.coefficient (R): 0.991349
Evt. 46   P.coefficient (R): 0.987746
Evt. 47   P.coefficient (R): 0.98996
Evt. 48   P.coefficient (R): 0.991507
Evt. 49   P.coefficient (R): 0.993223
Evt. 50   P.coefficient (R): 0.993054
Evt. 51   P.coefficient (R): 0.992688
Evt. 52   P.coefficient (R): 0.991845
Evt. 53   P.coefficient (R): 0.992766
Evt. 54   P.coefficient (R): 0.991073
Evt. 55   P.coefficient (R): 0.992021
Evt. 56   P.coefficient (R): 0.989894
Evt. 57   P.coefficient (R): 0.991464
Evt. 58   P.coefficient (R): 0.990955
Evt. 59   P.coefficient (R): 0.991481
Evt. 60   P.coefficient (R): 0.9921
Evt. 61   P.coefficient (R): 0.989877
Evt. 62   P.coefficient (R): 0.990877
Evt. 63   P.coefficient (R): 0.991663
Evt. 64   P.coefficient (R): 0.991467
Evt. 65   P.coefficient (R): 0.991355
Evt. 66   P.coefficient (R): 0.991136
Evt. 67   P.coefficient (R): 0.993126
Evt. 68   P.coefficient (R): 0.992698
Evt. 69   P.coefficient (R): 0.992161
Evt. 70   P.coefficient (R): 0.991827
Evt. 71   P.coefficient (R): 0.992538
Evt. 72   P.coefficient (R): 0.990198
Evt. 73   P.coefficient (R): 0.987497
Evt. 74   P.coefficient (R): 0.991732
Evt. 75   P.coefficient (R): 0.991847
Evt. 76   P.coefficient (R): 0.991603
Evt. 77   P.coefficient (R): 0.991918
Evt. 78   P.coefficient (R): 0.992767
Evt. 79   P.coefficient (R): 0.990717
Evt. 80   P.coefficient (R): 0.992213
Evt. 81   P.coefficient (R): 0.992102
Evt. 82   P.coefficient (R): 0.991592
Evt. 83   P.coefficient (R): 0.991594
Evt. 84   P.coefficient (R): 0.992403
Evt. 85   P.coefficient (R): 0.983151
Evt. 86   P.coefficient (R): 0.992008
Evt. 87   P.coefficient (R): 0.992646
Evt. 88   P.coefficient (R): 0.992865
Evt. 89   P.coefficient (R): 0.990681
Evt. 90   P.coefficient (R): 0.992469
Evt. 91   P.coefficient (R): 0.993286
Evt. 92   P.coefficient (R): 0.992995
Evt. 93   P.coefficient (R): 0.992284
Evt. 94   P.coefficient (R): 0.992757
Evt. 95   P.coefficient (R): 0.99151
Evt. 96   P.coefficient (R): 0.991811
Evt. 97   P.coefficient (R): 0.991334
Evt. 98   P.coefficient (R): 0.990467
Evt. 99   P.coefficient (R): 0.991426
Evt. 100   P.coefficient (R): 0.991793
Evt. 101   P.coefficient (R): 0.992264
Evt. 102   P.coefficient (R): 0.992331
Evt. 103   P.coefficient (R): 0.99151
Evt. 104   P.coefficient (R): 0.991808
Evt. 105   P.coefficient (R): 0.991823
Evt. 106   P.coefficient (R): 0.991512
Evt. 107   P.coefficient (R): 0.98989
Evt. 108   P.coefficient (R): 0.991505
Evt. 109   P.coefficient (R): 0.991036
Evt. 110   P.coefficient (R): 0.991963
Evt. 111   P.coefficient (R): 0.991201
Evt. 112   P.coefficient (R): 0.990258
Evt. 113   P.coefficient (R): 0.991973
Evt. 114   P.coefficient (R): 0.993299
Evt. 115   P.coefficient (R): 0.992849
Evt. 116   P.coefficient (R): 0.993196
Evt. 117   P.coefficient (R): 0.992993
Evt. 118   P.coefficient (R): 0.9927
Evt. 119   P.coefficient (R): 0.993132
Evt. 120   P.coefficient (R): 0.985893
Evt. 121   P.coefficient (R): 0.992183
Evt. 122   P.coefficient (R): 0.992172
Evt. 123   P.coefficient (R): 0.991582
Evt. 124   P.coefficient (R): 0.992377
Evt. 125   P.coefficient (R): 0.992253
Evt. 126   P.coefficient (R): 0.993047
Evt. 127   P.coefficient (R): 0.992424
Evt. 128   P.coefficient (R): 0.992205
Evt. 129   P.coefficient (R): 0.991347
Evt. 130   P.coefficient (R): 0.993348
Evt. 131   P.coefficient (R): 0.992516
Evt. 132   P.coefficient (R): 0.991268
Evt. 133   P.coefficient (R): 0.984961
Evt. 134   P.coefficient (R): 0.992835
Evt. 135   P.coefficient (R): 0.992208
Evt. 136   P.coefficient (R): 0.992802
Evt. 137   P.coefficient (R): 0.99138
Evt. 138   P.coefficient (R): 0.992028
Evt. 139   P.coefficient (R): 0.992552
Evt. 140   P.coefficient (R): 0.992248
Evt. 141   P.coefficient (R): 0.992862
Evt. 142   P.coefficient (R): 0.993144
Evt. 143   P.coefficient (R): 0.993449
Evt. 144   P.coefficient (R): 0.992364
Evt. 145   P.coefficient (R): 0.991975
Evt. 146   P.coefficient (R): 0.992608
Evt. 147   P.coefficient (R): 0.991958
Evt. 148   P.coefficient (R): 0.992689
Evt. 149   P.coefficient (R): 0.990681
Evt. 151   P.coefficient (R): 0.992081
Evt. 152   P.coefficient (R): 0.990989
Evt. 153   P.coefficient (R): 0.993253
Evt. 154   P.coefficient (R): 0.990223
Evt. 155   P.coefficient (R): 0.991579
Evt. 156   P.coefficient (R): 0.990741
Evt. 157   P.coefficient (R): 0.992161
Evt. 159   P.coefficient (R): 0.992376
Evt. 160   P.coefficient (R): 0.991913
Evt. 161   P.coefficient (R): 0.992536
Evt. 162   P.coefficient (R): 0.991971
Evt. 163   P.coefficient (R): 0.989374
Evt. 164   P.coefficient (R): 0.992923
Evt. 165   P.coefficient (R): 0.993319
Evt. 166   P.coefficient (R): 0.9908
Evt. 167   P.coefficient (R): 0.992891
Evt. 168   P.coefficient (R): 0.991932
Evt. 169   P.coefficient (R): 0.990959
Evt. 170   P.coefficient (R): 0.992495
Evt. 171   P.coefficient (R): 0.992647
Evt. 172   P.coefficient (R): 0.989453
Evt. 173   P.coefficient (R): 0.993154
Evt. 174   P.coefficient (R): 0.993067
Evt. 175   P.coefficient (R): 0.993141
Evt. 176   P.coefficient (R): 0.992372
Evt. 177   P.coefficient (R): 0.991694
Evt. 178   P.coefficient (R): 0.992724
Evt. 179   P.coefficient (R): 0.989808
Evt. 180   P.coefficient (R): 0.99214
Evt. 181   P.coefficient (R): 0.992303
Evt. 182   P.coefficient (R): 0.9912
Evt. 184   P.coefficient (R): 0.990236
Evt. 185   P.coefficient (R): 0.992136
Evt. 186   P.coefficient (R): 0.991723
Evt. 187   P.coefficient (R): 0.992323
Evt. 188   P.coefficient (R): 0.992873
Evt. 189   P.coefficient (R): 0.988059
Evt. 190   P.coefficient (R): 0.991478
Evt. 191   P.coefficient (R): 0.99018
Evt. 192   P.coefficient (R): 0.99214
Evt. 193   P.coefficient (R): 0.990418
Evt. 194   P.coefficient (R): 0.992666
Evt. 195   P.coefficient (R): 0.993352
Evt. 196   P.coefficient (R): 0.985517
Evt. 197   P.coefficient (R): 0.992366
Evt. 198   P.coefficient (R): 0.990596
Evt. 199   P.coefficient (R): 0.989386
Evt. 200   P.coefficient (R): 0.992469
Evt. 201   P.coefficient (R): 0.992545
Evt. 202   P.coefficient (R): 0.990008
Evt. 203   P.coefficient (R): 0.99326
Evt. 204   P.coefficient (R): 0.992441
Evt. 205   P.coefficient (R): 0.993063
Evt. 206   P.coefficient (R): 0.993086
Evt. 207   P.coefficient (R): 0.993316
Evt. 208   P.coefficient (R): 0.990146
Evt. 209   P.coefficient (R): 0.990504
Evt. 210   P.coefficient (R): 0.989628
Evt. 211   P.coefficient (R): 0.949791
Evt. 212   P.coefficient (R): 0.9918
Evt. 213   P.coefficient (R): 0.992702
Evt. 214   P.coefficient (R): 0.992654
Evt. 215   P.coefficient (R): 0.992839
Evt. 216   P.coefficient (R): 0.990485
Evt. 217   P.coefficient (R): 0.992905
Evt. 218   P.coefficient (R): 0.992747
Evt. 219   P.coefficient (R): 0.993959
Evt. 220   P.coefficient (R): 0.992406
Evt. 221   P.coefficient (R): 0.992258
Evt. 222   P.coefficient (R): 0.992891
Evt. 223   P.coefficient (R): 0.992213
Evt. 224   P.coefficient (R): 0.993205
Evt. 225   P.coefficient (R): 0.99354
Evt. 226   P.coefficient (R): 0.994172
Evt. 227   P.coefficient (R): 0.992448
Evt. 228   P.coefficient (R): 0.993321
Evt. 229   P.coefficient (R): 0.99277
Evt. 230   P.coefficient (R): 0.990705
Evt. 231   P.coefficient (R): 0.990275
Evt. 232   P.coefficient (R): 0.991204
Evt. 233   P.coefficient (R): 0.992518
Evt. 234   P.coefficient (R): 0.990703
Evt. 235   P.coefficient (R): 0.992041
Evt. 236   P.coefficient (R): 0.992347
Evt. 237   P.coefficient (R): 0.992565
Evt. 238   P.coefficient (R): 0.990067
Evt. 239   P.coefficient (R): 0.98892
Evt. 240   P.coefficient (R): 0.993323
Evt. 242   P.coefficient (R): 0.992453
Evt. 243   P.coefficient (R): 0.991685
Evt. 244   P.coefficient (R): 0.993193
Evt. 245   P.coefficient (R): 0.99177
Evt. 246   P.coefficient (R): 0.99099
Evt. 247   P.coefficient (R): 0.985463
Evt. 248   P.coefficient (R): 0.992265
Evt. 249   P.coefficient (R): 0.990373
Evt. 250   P.coefficient (R): 0.992844
Evt. 251   P.coefficient (R): 0.990939
Evt. 252   P.coefficient (R): 0.9927
Evt. 253   P.coefficient (R): 0.991535
Evt. 254   P.coefficient (R): 0.993124
Evt. 255   P.coefficient (R): 0.9925
Evt. 256   P.coefficient (R): 0.992563
Evt. 257   P.coefficient (R): 0.994244
Evt. 258   P.coefficient (R): 0.992827
Evt. 259   P.coefficient (R): 0.99215
Evt. 260   P.coefficient (R): 0.992332
Evt. 261   P.coefficient (R): 0.992607
Evt. 263   P.coefficient (R): 0.991024
Evt. 264   P.coefficient (R): 0.991524
Evt. 266   P.coefficient (R): 0.991321
Evt. 267   P.coefficient (R): 0.993668
Evt. 268   P.coefficient (R): 0.993019
Evt. 269   P.coefficient (R): 0.991774
Evt. 270   P.coefficient (R): 0.990769
Evt. 271   P.coefficient (R): 0.992751
Evt. 272   P.coefficient (R): 0.990282
Evt. 273   P.coefficient (R): 0.991108
Evt. 274   P.coefficient (R): 0.993424
Evt. 275   P.coefficient (R): 0.991938
Evt. 276   P.coefficient (R): 0.99091
Evt. 277   P.coefficient (R): 0.992456
Evt. 278   P.coefficient (R): 0.992762
Evt. 279   P.coefficient (R): 0.993006
Evt. 280   P.coefficient (R): 0.993153
Evt. 281   P.coefficient (R): 0.99143
Evt. 282   P.coefficient (R): 0.993521
Evt. 283   P.coefficient (R): 0.989605
Evt. 284   P.coefficient (R): 0.992379
Evt. 285   P.coefficient (R): 0.991882
Evt. 286   P.coefficient (R): 0.991449
Evt. 287   P.coefficient (R): 0.991954
Evt. 289   P.coefficient (R): 0.993396
Evt. 290   P.coefficient (R): 0.99239
Evt. 291   P.coefficient (R): 0.99041
Evt. 292   P.coefficient (R): 0.991977
Evt. 293   P.coefficient (R): 0.992168
Evt. 294   P.coefficient (R): 0.992592
Evt. 295   P.coefficient (R): 0.989712
Evt. 297   P.coefficient (R): 0.991209
Evt. 298   P.coefficient (R): 0.991464
Evt. 299   P.coefficient (R): 0.987304
Evt. 300   P.coefficient (R): 0.993634
Evt. 301   P.coefficient (R): 0.989751
Evt. 302   P.coefficient (R): 0.991584
Evt. 303   P.coefficient (R): 0.989686
Evt. 304   P.coefficient (R): 0.991987
Evt. 305   P.coefficient (R): 0.988987
Evt. 306   P.coefficient (R): 0.986803
Evt. 307   P.coefficient (R): 0.991532
Evt. 308   P.coefficient (R): 0.988363
Evt. 309   P.coefficient (R): 0.992093
Evt. 310   P.coefficient (R): 0.991871
Evt. 311   P.coefficient (R): 0.99195
Evt. 312   P.coefficient (R): 0.99169
Evt. 313   P.coefficient (R): 0.992079
Evt. 314   P.coefficient (R): 0.990476
Evt. 315   P.coefficient (R): 0.990806
Evt. 316   P.coefficient (R): 0.99144
Evt. 317   P.coefficient (R): 0.993371
Evt. 318   P.coefficient (R): 0.992424
Evt. 320   P.coefficient (R): 0.990081
Evt. 321   P.coefficient (R): 0.992042
Evt. 322   P.coefficient (R): 0.990769
Evt. 323   P.coefficient (R): 0.992058
Evt. 324   P.coefficient (R): 0.99327
Evt. 325   P.coefficient (R): 0.990234
Evt. 326   P.coefficient (R): 0.989875
Evt. 327   P.coefficient (R): 0.991304
Evt. 328   P.coefficient (R): 0.989286
Evt. 329   P.coefficient (R): 0.987886
Evt. 330   P.coefficient (R): 0.992701
Evt. 331   P.coefficient (R): 0.991554
Evt. 332   P.coefficient (R): 0.991965
Evt. 333   P.coefficient (R): 0.992975
Evt. 334   P.coefficient (R): 0.989424
Evt. 335   P.coefficient (R): 0.991316
Evt. 336   P.coefficient (R): 0.990598
Evt. 337   P.coefficient (R): 0.991053
Evt. 338   P.coefficient (R): 0.992356
Evt. 339   P.coefficient (R): 0.992371
Evt. 340   P.coefficient (R): 0.99277
Evt. 341   P.coefficient (R): 0.991188
Evt. 342   P.coefficient (R): 0.991875
Evt. 343   P.coefficient (R): 0.992835
Evt. 344   P.coefficient (R): 0.989918
Evt. 345   P.coefficient (R): 0.993697
Evt. 346   P.coefficient (R): 0.9937
Evt. 347   P.coefficient (R): 0.991612
Evt. 348   P.coefficient (R): 0.992158
Evt. 349   P.coefficient (R): 0.986447
Evt. 350   P.coefficient (R): 0.992486
Evt. 351   P.coefficient (R): 0.990765
Evt. 352   P.coefficient (R): 0.992647
Evt. 353   P.coefficient (R): 0.990364
Evt. 354   P.coefficient (R): 0.991502
Evt. 355   P.coefficient (R): 0.992633
Evt. 356   P.coefficient (R): 0.992478
Evt. 357   P.coefficient (R): 0.991815
Evt. 358   P.coefficient (R): 0.992157
Evt. 359   P.coefficient (R): 0.993315
Evt. 360   P.coefficient (R): 0.99221
Evt. 361   P.coefficient (R): 0.984221
Evt. 362   P.coefficient (R): 0.993191
Evt. 363   P.coefficient (R): 0.991152
Evt. 364   P.coefficient (R): 0.979953
Evt. 365   P.coefficient (R): 0.992831
Evt. 366   P.coefficient (R): 0.98898
Evt. 367   P.coefficient (R): 0.993019
Evt. 368   P.coefficient (R): 0.992498
Evt. 369   P.coefficient (R): 0.992419
Evt. 371   P.coefficient (R): 0.991791
Evt. 372   P.coefficient (R): 0.992396
Evt. 373   P.coefficient (R): 0.992174
Evt. 374   P.coefficient (R): 0.992983
Evt. 375   P.coefficient (R): 0.991793
Evt. 376   P.coefficient (R): 0.991803
Evt. 377   P.coefficient (R): 0.99101
Evt. 378   P.coefficient (R): 0.993366
Evt. 379   P.coefficient (R): 0.99227
Evt. 380   P.coefficient (R): 0.991537
Evt. 381   P.coefficient (R): 0.992809
Evt. 382   P.coefficient (R): 0.992657
Evt. 383   P.coefficient (R): 0.993554
Evt. 384   P.coefficient (R): 0.993433
Evt. 385   P.coefficient (R): 0.988944
Evt. 386   P.coefficient (R): 0.993227
Evt. 387   P.coefficient (R): 0.992116
Evt. 388   P.coefficient (R): 0.992507
Evt. 389   P.coefficient (R): 0.992815
Evt. 390   P.coefficient (R): 0.991631
Evt. 391   P.coefficient (R): 0.991892
Evt. 392   P.coefficient (R): 0.991225
Evt. 393   P.coefficient (R): 0.990092
Evt. 394   P.coefficient (R): 0.992019
Evt. 395   P.coefficient (R): 0.98815
Evt. 396   P.coefficient (R): 0.991586
Evt. 397   P.coefficient (R): 0.991209
Evt. 398   P.coefficient (R): 0.98861
Evt. 399   P.coefficient (R): 0.99212
Evt. 400   P.coefficient (R): 0.992597
Evt. 401   P.coefficient (R): 0.989103
Evt. 402   P.coefficient (R): 0.992982
Evt. 403   P.coefficient (R): 0.992984
Evt. 404   P.coefficient (R): 0.992314
Evt. 405   P.coefficient (R): 0.986749
Evt. 406   P.coefficient (R): 0.992474
Evt. 408   P.coefficient (R): 0.991213
Evt. 409   P.coefficient (R): 0.992111
Evt. 410   P.coefficient (R): 0.989294
Evt. 411   P.coefficient (R): 0.991441
Evt. 412   P.coefficient (R): 0.99299
Evt. 413   P.coefficient (R): 0.993384
Evt. 414   P.coefficient (R): 0.989911
Evt. 415   P.coefficient (R): 0.990344
Evt. 416   P.coefficient (R): 0.993334
Evt. 418   P.coefficient (R): 0.987099
Evt. 419   P.coefficient (R): 0.99213
Evt. 420   P.coefficient (R): 0.986915
Evt. 421   P.coefficient (R): 0.991709
Evt. 422   P.coefficient (R): 0.992457
Evt. 423   P.coefficient (R): 0.991768
Evt. 424   P.coefficient (R): 0.992905
Evt. 425   P.coefficient (R): 0.992676
Evt. 426   P.coefficient (R): 0.991322
Evt. 427   P.coefficient (R): 0.992892
Evt. 429   P.coefficient (R): 0.992108
Evt. 431   P.coefficient (R): 0.992407
Evt. 432   P.coefficient (R): 0.992664
Evt. 433   P.coefficient (R): 0.991365
Evt. 434   P.coefficient (R): 0.992319
Evt. 435   P.coefficient (R): 0.991072
Evt. 436   P.coefficient (R): 0.991598
Evt. 437   P.coefficient (R): 0.990192
Evt. 438   P.coefficient (R): 0.991482
Evt. 439   P.coefficient (R): 0.99213
Evt. 440   P.coefficient (R): 0.992782
Evt. 441   P.coefficient (R): 0.992434
Evt. 442   P.coefficient (R): 0.992244
Evt. 443   P.coefficient (R): 0.991902
Evt. 444   P.coefficient (R): 0.990784
Evt. 445   P.coefficient (R): 0.993086
Evt. 446   P.coefficient (R): 0.9934
Evt. 447   P.coefficient (R): 0.990079
Evt. 448   P.coefficient (R): 0.993148
Evt. 449   P.coefficient (R): 0.992837
Evt. 450   P.coefficient (R): 0.993632
Evt. 451   P.coefficient (R): 0.993596
Evt. 452   P.coefficient (R): 0.993022
Evt. 453   P.coefficient (R): 0.991121
Evt. 454   P.coefficient (R): 0.992252
Evt. 455   P.coefficient (R): 0.992267
Evt. 456   P.coefficient (R): 0.992324
Evt. 457   P.coefficient (R): 0.991566
